代码,名称,日期,开盘价,最高价,最低价,收盘价,成交量
DR007.IB,银存间质押7日,1999-01-04,4.02,4.02,4.02,4.02,100000000
DR007.IB,银存间质押7日,1999-01-05,4.05,4.05,4.05,4.05,20000000
DR007.IB,银存间质押7日,1999-01-06,4.05,4.05,4.05,4.05,20000000
DR007.IB,银存间质押7日,1999-01-07,4.05,4.05,4.05,4.05,10000000
DR007.IB,银存间质押7日,1999-01-08,4.05,4.05,4.05,4.05,80000000
DR007.IB,银存间质押7日,1999-01-12,4.05,4.05,4.05,4.05,200000000
DR007.IB,银存间质押7日,1999-01-13,4.04,4.2,4.04,4.2,50000000
DR007.IB,银存间质押7日,1999-01-14,4.05,4.05,4.05,4.05,70000000
DR007.IB,银存间质押7日,1999-01-15,4.05,4.05,4.05,4.05,20000000
DR007.IB,银存间质押7日,1999-01-20,4.02,4.02,4.02,4.02,20000000
DR007.IB,银存间质押7日,1999-01-21,4.02,4.02,4.02,4.02,1140000000
DR007.IB,银存间质押7日,1999-01-22,4.02,4.02,4.02,4.02,260000000
DR007.IB,银存间质押7日,1999-01-25,4.02,4.04,4.02,4.04,670000000
DR007.IB,银存间质押7日,1999-01-26,4.02,4.02,4,4,570000000
DR007.IB,银存间质押7日,1999-01-27,4.02,4.02,4.02,4.02,310000000
DR007.IB,银存间质押7日,1999-01-28,4,4.02,4,4,460000000
DR007.IB,银存间质押7日,1999-02-01,4.02,4.02,4.02,4.02,470000000
DR007.IB,银存间质押7日,1999-02-02,4.02,4.02,4,4,308000000
DR007.IB,银存间质押7日,1999-02-03,4.02,4.1,4.02,4.02,150000000
DR007.IB,银存间质押7日,1999-02-04,4.02,4.02,4.02,4.02,255000000
DR007.IB,银存间质押7日,1999-02-05,4.02,4.02,4.02,4.02,40000000
DR007.IB,银存间质押7日,1999-02-08,4.02,4.02,4.02,4.02,575000000
DR007.IB,银存间质押7日,1999-02-09,4.02,4.5,4.02,4.5,164000000
DR007.IB,银存间质押7日,1999-02-12,4.05,4.1,4.05,4.1,100000000
DR007.IB,银存间质押7日,1999-02-23,4,4,4,4,20000000
DR007.IB,银存间质押7日,1999-02-25,4.02,4.02,4.02,4.02,50000000
DR007.IB,银存间质押7日,1999-02-26,4.02,4.1,4.02,4.1,100000000
DR007.IB,银存间质押7日,1999-03-01,4.02,4.02,4.02,4.02,660000000
DR007.IB,银存间质押7日,1999-03-02,4,4.05,4,4.05,600000000
DR007.IB,银存间质押7日,1999-03-03,4.02,4.02,4.02,4.02,90000000
DR007.IB,银存间质押7日,1999-03-04,4.02,4.05,4.02,4.05,600000000
DR007.IB,银存间质押7日,1999-03-05,4.02,4.02,4.02,4.02,238000000
DR007.IB,银存间质押7日,1999-03-08,4.02,4.05,4.02,4.02,1400000000
DR007.IB,银存间质押7日,1999-03-09,4.02,4.08,4.02,4.02,270000000
DR007.IB,银存间质押7日,1999-03-10,4.03,4.05,4.03,4.05,850000000
DR007.IB,银存间质押7日,1999-03-11,4.05,4.152,4.03,4.08,410000000
DR007.IB,银存间质押7日,1999-03-12,4.08,4.08,4.08,4.08,50000000
DR007.IB,银存间质押7日,1999-03-16,4.16,4.16,4.05,4.05,990000000
DR007.IB,银存间质押7日,1999-03-18,4.08,4.08,4.08,4.08,50000000
DR007.IB,银存间质押7日,1999-03-22,4.02,4.05,4.02,4.05,90000000
DR007.IB,银存间质押7日,1999-03-23,4.05,4.05,4.05,4.05,565000000
DR007.IB,银存间质押7日,1999-03-25,4.05,4.05,4.02,4.02,150000000
DR007.IB,银存间质押7日,1999-03-26,4.05,4.05,4.05,4.05,80000000
DR007.IB,银存间质押7日,1999-03-29,4.05,4.08,4.05,4.06,308000000
DR007.IB,银存间质押7日,1999-03-30,4.05,4.05,4.05,4.05,70000000
DR007.IB,银存间质押7日,1999-03-31,4.05,4.05,4.05,4.05,30000000
DR007.IB,银存间质押7日,1999-04-01,4.05,4.05,4.05,4.05,190000000
DR007.IB,银存间质押7日,1999-04-02,4.05,4.08,4.05,4.05,180000000
DR007.IB,银存间质押7日,1999-04-05,4.05,4.05,4.05,4.05,120000000
DR007.IB,银存间质押7日,1999-04-06,4.05,4.05,4.05,4.05,585000000
DR007.IB,银存间质押7日,1999-04-07,4.05,4.05,4.02,4.05,118000000
DR007.IB,银存间质押7日,1999-04-08,4.05,4.05,4.05,4.05,140000000
DR007.IB,银存间质押7日,1999-04-12,4.05,4.05,4.05,4.05,200000000
DR007.IB,银存间质押7日,1999-04-13,4.02,4.05,4.02,4.05,480000000
DR007.IB,银存间质押7日,1999-04-14,4.02,4.05,4.02,4.05,340000000
DR007.IB,银存间质押7日,1999-04-15,4.08,4.08,4.03,4.05,130000000
DR007.IB,银存间质押7日,1999-04-16,4.02,4.05,4.02,4.05,200000000
