代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅,成交额(百万),成交量(股)
000016.SH,上证50,2003-12-31,1000,1000,1000,1000,0,0,0
000016.SH,上证50,2004-01-02,997,1021.57,993.89,1011.35,0.0114,5742.76,806465300
000016.SH,上证50,2004-01-05,1008.28,1060.9,1008.28,1060.8,0.0489,10706.46,1446818000
000016.SH,上证50,2004-01-06,1059.14,1086.69,1059.09,1075.66,0.014,12417,1699133400
000016.SH,上证50,2004-01-07,1075.56,1095.84,1070.98,1086.3,0.0099,10352.54,1372941900
000016.SH,上证50,2004-01-08,1087.68,1108.29,1082.51,1102.66,0.0151,8188.93,1078042700
000016.SH,上证50,2004-01-09,1105.77,1115.46,1079.07,1081.79,-0.0189,10548.45,1346744200
000016.SH,上证50,2004-01-12,1081.81,1117.51,1079.77,1116.8,0.0324,8376.57,1023394300
000016.SH,上证50,2004-01-13,1120.15,1123.66,1089.63,1102.34,-0.0129,7989.28,983718900
000016.SH,上证50,2004-01-14,1101.44,1101.67,1076.87,1079.72,-0.0205,5343.58,712049900
000016.SH,上证50,2004-01-15,1078.53,1088.67,1070.73,1073.98,-0.0053,4755.88,617920700
000016.SH,上证50,2004-01-16,1076.64,1087.82,1067.85,1083.65,0.009,5520.32,717416700
000016.SH,上证50,2004-01-29,1086.66,1101.03,1084.45,1100.6,0.0156,4529.58,579123000
000016.SH,上证50,2004-01-30,1102.17,1103.7,1066.44,1067.55,-0.03,5943.97,776111800
000016.SH,上证50,2004-02-02,1107.49,1116.31,1069.97,1091.73,0.0226,11668.21,1543292200
000016.SH,上证50,2004-02-03,1091.86,1103.24,1084.39,1102.95,0.0103,6827.92,841110700
000016.SH,上证50,2004-02-04,1104.74,1130.14,1104.74,1128.44,0.0231,8915.09,1053499000
000016.SH,上证50,2004-02-05,1135.62,1136.42,1118.17,1127.9,-0.0005,8521.83,977431400
000016.SH,上证50,2004-02-06,1125.49,1139.09,1108.91,1122.08,-0.0052,9086.96,1114033700
000016.SH,上证50,2004-02-09,1122.29,1134.91,1122.28,1134.61,0.0112,7038.85,859830500
000016.SH,上证50,2004-02-10,1137.72,1141.99,1116.93,1120.96,-0.012,7084.28,866278000
000016.SH,上证50,2004-02-11,1121.81,1123.77,1100.24,1110.06,-0.0097,7161.1,924632000
000016.SH,上证50,2004-02-12,1110.83,1122.48,1092.29,1094.11,-0.0144,7735.86,958159700
000016.SH,上证50,2004-02-13,1094,1105.82,1088.86,1096.36,0.0021,5758.48,690482100
000016.SH,上证50,2004-02-16,1098.86,1124.35,1098.86,1123.75,0.025,6197.8,762341000
000016.SH,上证50,2004-02-17,1127.1,1132.71,1121.28,1123.62,-0.0001,7856.93,881589700
000016.SH,上证50,2004-02-18,1123.7,1136.53,1119.63,1129.28,0.005,7208.81,809371100
000016.SH,上证50,2004-02-19,1130.4,1138.08,1119.67,1122.38,-0.0061,6217.18,713080500
000016.SH,上证50,2004-02-20,1122.93,1125.37,1112.94,1124.66,0.002,5258.6,598875900
000016.SH,上证50,2004-02-23,1126.23,1129.52,1092.01,1093.14,-0.028,7258.28,880250900
000016.SH,上证50,2004-02-24,1090.25,1095.94,1072.33,1093.1,0,6881.09,844938200
000016.SH,上证50,2004-02-25,1094.43,1104.35,1067.13,1070.36,-0.0208,6373.13,806405500
000016.SH,上证50,2004-02-26,1068.13,1080.23,1061.2,1079.9,0.0089,6041.59,810089000
000016.SH,上证50,2004-02-27,1081.71,1090.89,1079.93,1088.72,0.0082,5654.38,729306900
000016.SH,上证50,2004-03-01,1089.65,1095.23,1076.08,1094.24,0.0051,5297.53,644171500
000016.SH,上证50,2004-03-02,1096.1,1099.71,1086.72,1093.39,-0.0008,4608.23,557731800
000016.SH,上证50,2004-03-03,1093.36,1093.74,1067.94,1072.64,-0.019,4177.18,521481900
000016.SH,上证50,2004-03-04,1070.9,1079.27,1061.89,1078.35,0.0053,3854.36,481043300
000016.SH,上证50,2004-03-05,1080.34,1083.14,1070.3,1071.58,-0.0063,2754.92,336502700
000016.SH,上证50,2004-03-08,1070.11,1075.75,1056.04,1057.1,-0.0135,3706.59,459984900
000016.SH,上证50,2004-03-09,1057.36,1075.22,1056.88,1061.16,0.0038,4876.69,691802100
000016.SH,上证50,2004-03-10,1062.98,1091.35,1062.98,1091.1,0.0282,4768.36,611397300
000016.SH,上证50,2004-03-11,1092.74,1102.22,1086.55,1095.56,0.0041,4817.18,576179100
000016.SH,上证50,2004-03-12,1096.35,1102.13,1088.44,1099.08,0.0032,4158.68,523609700
000016.SH,上证50,2004-03-15,1100.4,1134.28,1100.15,1131.68,0.0297,8500.65,1025206900
000016.SH,上证50,2004-03-16,1136.27,1139.49,1127.85,1135.57,0.0034,6223.98,732935900
000016.SH,上证50,2004-03-17,1136.45,1139.28,1124.6,1135.17,-0.0004,4842.85,548980200
000016.SH,上证50,2004-03-18,1134.93,1141.81,1110.32,1111.85,-0.0205,5785.91,686980500
000016.SH,上证50,2004-03-19,1110.44,1130.26,1107.1,1129.78,0.0161,4782.88,588599400
000016.SH,上证50,2004-03-22,1130.87,1141.81,1126.19,1134.79,0.0044,4319.54,509368600
000016.SH,上证50,2004-03-23,1133.99,1134.13,1115.67,1121.33,-0.0119,4644.46,558753500
000016.SH,上证50,2004-03-24,1120.21,1125.06,1109.33,1115.51,-0.0052,4213.86,480013900
000016.SH,上证50,2004-03-25,1114.75,1126.19,1108.18,1115.24,-0.0002,3777.14,460921600
000016.SH,上证50,2004-03-26,1115.49,1118.72,1105.55,1112.78,-0.0022,4629.5,539454700
000016.SH,上证50,2004-03-29,1112.28,1115.05,1100.43,1101.66,-0.01,4156.41,533627000
000016.SH,上证50,2004-03-30,1100.8,1106.01,1093.12,1101.27,-0.0004,3465.95,415867700
000016.SH,上证50,2004-03-31,1102.29,1113.74,1097.87,1108.54,0.0066,3468.94,424786000
000016.SH,上证50,2004-04-01,1109.72,1124.25,1108.91,1123.44,0.0134,3975.84,468270700
000016.SH,上证50,2004-04-02,1125.36,1133.44,1122.64,1127.81,0.0039,4954.58,578895400
000016.SH,上证50,2004-04-05,1128.51,1129.81,1112.29,1118.27,-0.0085,5142.22,625974900
000016.SH,上证50,2004-04-06,1117.89,1124.02,1106.6,1123.86,0.005,4525.6,554598000
000016.SH,上证50,2004-04-07,1124.25,1125.63,1116.13,1117.44,-0.0057,4104.68,467449900
000016.SH,上证50,2004-04-08,1117.12,1118.47,1109.78,1112.84,-0.0041,4997.17,575873600
000016.SH,上证50,2004-04-09,1113.72,1119.15,1083.33,1088.16,-0.0222,5577.02,692196600
000016.SH,上证50,2004-04-12,1082.45,1087.48,1071.12,1080.08,-0.0074,3920.29,502117400
