指标名称,中国:M2
频率,月
单位,亿元
指标ID,M0001384
来源,中国人民银行
1985-12-31,5198.9
1986-12-31,6720.900000000001
1987-12-31,8330.9
1988-12-31,10099.8
1989-12-31,11949.6
1990-12-31,15293.400000000001
1991-12-31,19349.9
1992-12-31,25402.2
1993-12-31,34879.8
1994-12-31,46923.5
1995-12-31,60750.5
1996-01-31,58401.0
1996-02-29,63778.0
1996-03-31,64510.99999999999
1996-04-30,65723.0
1996-05-31,66880.0
1996-06-30,68132.0
1996-07-31,69346.0
1996-08-31,72309.0
1996-09-30,69643.0
1996-10-31,73152.2
1996-11-30,74142.0
1996-12-31,77265.0
1997-01-31,78648.0
1997-02-28,78998.0
1997-03-31,79889.0
1997-04-30,80818.0
1997-05-31,81151.0
1997-06-30,82789.0
1997-07-31,83460.0
1997-08-31,84746.0
1997-09-30,85892.0
1997-10-31,86644.0
1997-11-30,87590.0
1997-12-31,90631.83
1998-01-31,92180.0
1998-02-28,92024.0
1998-03-31,92015.0
1998-04-30,92662.0
1998-05-31,93936.0
1998-06-30,94658.0
1998-07-31,96314.0
1998-08-31,97299.0
1998-09-30,99795.0
1998-10-31,100862.99999999999
1998-11-30,102229.00000000001
1998-12-31,104498.5
1999-01-31,105500.0
1999-02-28,107778.0
1999-03-31,108438.0
1999-04-30,109218.00000000001
1999-05-31,110061.0
1999-06-30,111363.0
1999-07-31,111400.0
1999-08-31,112827.0
1999-09-30,115079.00000000001
1999-10-31,115390.0
1999-11-30,116559.0
1999-12-31,119898.0
2000-01-31,121220.40000000001
2000-02-29,121583.40000000001
2000-03-31,122606.81999999999
2000-04-30,124121.87
2000-05-31,124053.25000000001
2000-06-30,126605.33
2000-07-31,126323.92
2000-08-31,127790.29999999999
2000-09-30,130473.84
2000-10-31,129522.44
2000-11-30,130994.07
2000-12-31,134610.26
2001-01-31,137543.62999999998
2001-02-28,136210.17
2001-03-31,138744.46
2001-04-30,139949.85
2001-05-31,139015.84
2001-06-30,147809.67
2001-07-31,149228.73
2001-08-31,149941.76
2001-09-30,151642.63999999998
2001-10-31,151497.25
2001-11-30,154088.33000000002
2001-12-31,158301.92
2002-01-31,159639.27
2002-02-28,160935.59
2002-03-31,164064.57
2002-04-30,164570.56
2002-05-31,166023.0
2002-06-30,169601.24
2002-07-31,170851.13999999998
2002-08-31,173250.92
2002-09-30,176985.21
2002-10-31,177294.15
2002-11-30,179736.25999999998
2002-12-31,185006.97
2003-01-31,190545.05
2003-02-28,190108.41
2003-03-31,194487.30000000002
2003-04-30,196130.13000000003
2003-05-31,199505.18999999997
2003-06-30,204907.42
2003-07-31,206193.07
2003-08-31,210591.90000000002
2003-09-30,213567.13
2003-10-31,214469.36
2003-11-30,216351.73
2003-12-31,221222.81999999998
2004-01-31,225101.93000000002
2004-02-29,227050.72
2004-03-31,231654.6
2004-04-30,233627.86
2004-05-31,234842.4
2004-06-30,238427.49
2004-07-31,238126.96999999997
2004-08-31,239729.19
2004-09-30,243756.88
2004-10-31,243740.31999999998
2004-11-30,247135.58
2004-12-31,253207.69999999998
2005-01-31,257708.47
2005-02-28,259357.28999999998
2005-03-31,264588.94
2005-04-30,266992.66
2005-05-31,269240.49
2005-06-30,275785.52999999997
2005-07-31,276966.28
2005-08-31,281288.22
2005-09-30,287438.26999999996
2005-10-31,287591.61
2005-11-30,292350.39
2005-12-31,298755.48
2006-01-31,303571.64999999997
2006-02-28,304516.27
2006-03-31,310490.65
2006-04-30,313702.33999999997
2006-05-31,316709.81
2006-06-30,322756.35
2006-07-31,324010.76
2006-08-31,327885.67
2006-09-30,331865.36
2006-10-31,332747.17
2006-11-30,337504.14999999997
2006-12-31,345577.91
2007-01-31,351498.77
2007-02-28,358659.25
2007-03-31,364104.66000000003
2007-04-30,367326.45
2007-05-31,369718.15
2007-06-30,377832.15
2007-07-31,383884.88
2007-08-31,387205.0399999999
2007-09-30,393098.91
2007-10-31,394204.17
2007-11-30,399757.91
2007-12-31,403401.3
2008-01-31,417846.17000000004
2008-02-29,421037.8399999999
2008-03-31,423054.5299999999
2008-04-30,429313.72
2008-05-31,436221.5999999999
2008-06-30,443141.02
2008-07-31,446362.1699999999
2008-08-31,448846.67999999993
2008-09-30,452898.71
2008-10-31,453133.32
2008-11-30,458644.66000000003
2008-12-31,475166.6
2009-01-31,496135.31
2009-02-28,506708.06999999995
2009-03-31,530626.71
2009-04-30,540481.21
2009-05-31,548263.51
2009-06-30,568916.2
2009-07-31,573102.85
2009-08-31,576698.95
2009-09-30,585405.3400000001
2009-10-31,586643.29
2009-11-30,594604.72
2009-12-31,610224.52
2010-01-31,625609.29
2010-02-28,636072.26
2010-03-31,649947.46
2010-04-30,656561.22
2010-05-31,663351.37
2010-06-30,673921.72
2010-07-31,674051.48
2010-08-31,687506.9199999999
2010-09-30,696471.5
2010-10-31,699776.7399999999
2010-11-30,710339.0299999999
2010-12-31,725851.7899999999
2011-01-31,733884.83
2011-02-28,736130.86
2011-03-31,758130.88
2011-04-30,757384.5599999999
2011-05-31,763409.22
2011-06-30,780820.8500000001
2011-07-31,772923.6499999999
2011-08-31,780852.2999999999
2011-09-30,787406.2
2011-10-31,816829.25
2011-11-30,825493.9400000001
2011-12-31,851590.9
2012-01-31,855898.89
2012-02-29,867171.42
2012-03-31,895565.5000000001
2012-04-30,889604.04
2012-05-31,900048.77
2012-06-30,924991.2
2012-07-31,919072.3999999999
2012-08-31,924894.59
2012-09-30,943688.7500000001
2012-10-31,936404.28
2012-11-30,944832.3500000001
2012-12-31,974148.8
2013-01-31,992129.2499999999
