指标名称,中国:人民币存款准备金率:中小型存款类金融机构:变动日期,中国:人民币存款准备金率:大型存款类金融机构:变动日期
2024/9/27,6.5,9.5
2024/2/5,7,10
2023/9/15,7.5,10.5
2023/3/27,7.75,10.75
2022/12/5,8,11
2022/4/25,8.25,11.25
2021/12/15,8.5,11.5
2021/7/15,9,12
2020/5/15,9.5,
2020/4/15,10,
2020/1/6,10.5,12.5
2019/9/16,11,13
2019/1/25,11.5,13.5
2019/1/15,12,14
2018/10/15,12.5,14.5
2018/7/5,13.5,15.5
2018/4/25,14,16
2016/3/1,15,17
2015/10/24,15.5,17.5
2015/9/6,16,18
2015/4/20,16.5,18.5
2015/2/5,17.5,19.5
2012/5/18,18,20
2012/2/24,18.5,20.5
2011/12/5,19,21
2011/6/20,19.5,21.5
2011/5/18,19,21
2011/4/21,18.5,20.5
2011/3/25,18,20
2011/2/24,17.5,19.5
2011/1/20,17,19
2010/12/20,16.5,18.5
2010/11/29,16,18
2010/11/16,15.5,17.5
2010/5/10,15,17
2010/2/25,14.5,16.5
2010/1/18,14,16
2008/12/25,13.5,15.5
2008/12/5,14,16
2008/10/15,16,17
2008/9/25,16.5,17.5
2008/6/25,17.5,17.5
2008/6/15,17,17
2008/5/20,16.5,16.5
2008/4/25,16,16
2008/3/25,15.5,15.5
2008/1/25,15,15
2007/12/25,14.5,14.5
2007/11/26,13.5,13.5
2007/10/25,13,13
2007/9/25,12.5,12.5
2007/8/15,12,12
2007/6/5,11.5,11.5
2007/5/15,11,11
2007/4/16,10.5,10.5
2007/2/25,10,10
2007/1/15,9.5,9.5
2006/11/15,9,9
2006/8/15,8.5,8.5
2006/7/5,8,8
2004/4/25,7.5,7.5
2003/9/21,7,7
