指标名称,中国:公开市场操作:货币净投放
频率,周
单位,亿元
指标ID,M0061614
来源,Wind
2024-12-13,1844.0
2024-12-06,-11321.0
2024-11-29,-3808.7
2024-11-22,668.0
2024-11-15,17171.0
2024-11-08,-13158.0
2024-11-01,-8514.0
2024-10-25,12573.8
2024-10-18,6475.0
2024-10-11,-13482.0
2024-10-04,2340.0
2024-09-27,-3410.5
2024-09-20,9179.0
2024-09-13,6743.0
2024-09-06,-11916.0
2024-08-30,2040.0
2024-08-23,-3471.0
2024-08-16,15236.1
2024-08-09,-7597.6
2024-08-02,-2037.0
2024-07-26,-1982.5
2024-07-19,11730.0
2024-07-12,0.0
2024-07-05,-7400.0
2024-06-28,3520.0
2024-06-21,3900.0
2024-06-14,-20.0
2024-06-07,-6040.0
2024-05-31,6040.0
2024-05-24,-20.0
2024-05-17,20.0
2024-05-10,-4400.0
2024-05-03,4400.0
2024-04-26,0.0
2024-04-19,-20.0
2024-04-12,-3940.0
2024-04-05,-4440.0
2024-03-29,8280.0
2024-03-22,-170.0
2024-03-15,-110.0
2024-03-08,-11140.0
2024-03-01,6320.0
2024-02-23,-8410.0
2024-02-09,-4170.0
2024-02-02,-2300.0
2024-01-26,4100.0
2024-01-19,13400.0
2024-01-12,-1890.0
2024-01-05,-24230.0
2023-12-29,12570.0
2023-12-22,3060.0
2023-12-15,1990.0
2023-12-08,-10590.0
2023-12-01,-310.0
2023-11-24,4060.0
2023-11-17,5110.0
2023-11-10,-6480.0
2023-11-03,-9260.0
2023-10-27,13700.0
2023-10-20,7880.0
2023-10-13,-17810.0
2023-09-29,11570.0
2023-09-22,5520.0
2023-09-15,-70.0
2023-09-08,-6640.0
2023-09-01,6810.0
2023-08-25,-470.0
2023-08-18,7570.0
2023-08-11,-350.0
2023-08-04,-2880.0
2023-07-28,2290.0
2023-07-21,810.0
2023-07-14,180.0
2023-07-07,-11560.0
2023-06-30,7090.0
2023-06-23,4100.0
2023-06-16,400.0
2023-06-09,-690.0
2023-06-02,610.0
2023-05-26,80.0
2023-05-19,-20.0
2023-05-12,-240.0
2023-05-05,-6860.0
2023-04-28,5100.0
2023-04-21,1580.0
2023-04-14,250.0
2023-04-07,-11320.0
2023-03-31,8110.0
2023-03-24,-1130.0
2023-03-17,4310.0
2023-03-10,-9830.0
2023-03-03,-4750.0
2023-02-24,-1720.0
2023-02-17,-1780.0
2023-02-10,6020.0
2023-02-03,-10680.0
2023-01-27,-6980.0
2023-01-20,19660.0
2023-01-13,2130.0
2023-01-06,-16010.0
2022-12-30,9750.0
2022-12-23,7040.0
2022-12-16,390.0
2022-12-09,-3070.0
2022-12-02,2940.0
2022-11-25,-3780.0
2022-11-18,3680.0
2022-11-11,-800.0
2022-11-04,-7370.0
2022-10-28,8400.0
2022-10-21,-190.0
2022-10-14,-3280.0
2022-10-07,-6110.0
2022-09-30,8680.0
2022-09-23,920.0
2022-09-16,-20.0
2022-09-09,0.0
2022-09-02,0.0
2022-08-26,0.0
2022-08-19,0.0
2022-08-12,0.0
2022-08-05,-60.0
2022-07-29,-120.0
2022-07-22,130.0
2022-07-15,0.0
2022-07-08,-3850.0
2022-07-01,3000.0
2022-06-24,500.0
2022-06-17,0.0
2022-06-10,0.0
2022-06-03,0.0
2022-05-27,0.0
2022-05-20,-100.0
2022-05-13,400.0
2022-05-06,-400.0
2022-04-29,100.0
2022-04-22,-100.0
2022-04-15,200.0
2022-04-08,-5700.0
2022-04-01,4200.0
2022-03-25,500.0
2022-03-18,900.0
2022-03-11,-3300.0
2022-03-04,-4300.0
2022-02-25,7600.0
2022-02-18,-2500.0
2022-02-11,-8000.0
2022-02-04,2000.0
2022-01-28,4000.0
2022-01-21,4500.0
2022-01-14,100.0
2022-01-07,-6600.0
2021-12-31,6000.0
2021-12-24,500.0
2021-12-17,0.0
2021-12-10,-1800.0
2021-12-03,-1700.0
2021-11-26,1900.0
2021-11-19,-2900.0
2021-11-12,2800.0
2021-11-05,-7800.0
2021-10-29,6800.0
2021-10-22,2600.0
2021-10-15,-4500.0
2021-10-08,-2800.0
2021-10-01,2800.0
2021-09-24,3700.0
2021-09-17,900.0
2021-09-10,-800.0
2021-09-03,-450.0
2021-08-27,1250.0
2021-08-20,0.0
2021-08-13,0.0
2021-08-06,-400.0
2021-07-30,400.0
2021-07-23,0.0
2021-07-16,0.0
2021-07-09,-600.0
2021-07-02,250.0
2021-06-25,450.0
2021-06-18,-100.0
2021-06-11,0.0
2021-06-04,0.0
2021-05-28,0.0
2021-05-21,-100.0
2021-05-14,400.0
2021-05-07,-400.0
2021-04-30,100.0
2021-04-23,0.0
2021-04-16,100.0
2021-04-09,-100.0
2021-04-02,0.0
2021-03-26,0.0
2021-03-19,0.0
2021-03-12,0.0
2021-03-05,-250.0
2021-02-26,-150.0
2021-02-19,-3400.0
2021-02-12,-500.0
2021-02-05,960.0
2021-01-29,-2300.0
2021-01-22,5980.0
2021-01-15,-390.0
2021-01-08,-4650.0
2021-01-01,950.0
2020-12-25,3650.0
2020-12-18,-900.0
2020-12-11,-500.0
2020-12-04,-2300.0
2020-11-27,1300.0
2020-11-20,-2500.0
2020-11-13,2300.0
2020-11-06,-1900.0
2020-10-30,1900.0
2020-10-23,2200.0
2020-10-16,-1100.0
2020-10-09,-5000.0
2020-10-02,-2500.0
2020-09-25,4800.0
2020-09-18,-1400.0
2020-09-11,2300.0
2020-09-04,-4700.0
2020-08-28,2000.0
2020-08-21,1600.0
2020-08-14,4900.0
2020-08-07,-2700.0
2020-07-31,1150.0
2020-07-24,-1650.0
2020-07-17,3300.0
2020-07-10,-2900.0
2020-07-03,-3925.0
