日期,发行利率:央行票据:3个月,发行利率:央行票据:1年期,央行票据:发行利率:6个月,央行票据:发行利率:3年期
2024/11/28,2.35,,,
2024/10/25,2.35,,,
2024/9/26,2.35,,,
2024/8/28,2.35,,,
2024/7/25,2.35,,,
2024/6/26,2.35,,,
2024/5/28,2.35,,,
2024/4/25,2.35,,,
2024/3/26,2.35,,,
2024/2/28,2.35,,,
2024/1/25,2.35,,,
2023/12/26,2.35,,,
2023/11/28,2.35,,,
2023/10/25,2.35,,,
2023/9/27,2.35,,,
2023/8/29,2.35,,,
2023/7/25,2.35,,,
2023/6/27,2.35,,,
2023/5/29,2.35,,,
2023/4/25,2.35,,,
2023/3/29,2.35,,,
2023/2/28,2.35,,,
2023/1/31,2.35,,,
2022/12/29,2.35,,,
2022/11/30,2.35,,,
2022/10/31,2.35,,,
2022/9/29,2.35,,,
2022/8/30,2.35,,,
2022/7/29,2.35,,,
2022/6/29,2.35,,,
2022/5/30,2.35,,,
2022/4/29,2.35,,,
2022/3/29,2.35,,,
2022/2/28,2.35,,,
2022/1/29,2.35,,,
2021/12/29,2.35,,,
2021/11/30,2.35,,,
2021/10/29,2.35,,,
2021/9/29,2.35,,,
2021/8/31,2.35,,,
2021/7/29,2.35,,,
2021/6/25,2.35,,,
2021/5/27,2.35,,,
2021/4/29,2.35,,,
2021/3/26,2.35,,,
2021/2/25,2.35,,,
2021/1/29,2.35,,,
2020/12/24,2.35,,,
2020/11/27,2.35,,,
2020/10/28,2.35,,,
2020/9/28,2.35,,,
2020/8/27,2.35,,,
2020/7/30,2.35,,,
2020/6/29,2.35,,,
2020/5/26,2.35,,,
2020/4/21,2.35,,,
2020/3/25,2.35,,,
2020/2/28,2.35,,,
2020/1/20,2.35,,,
2019/12/24,2.35,,,
2019/11/27,2.35,,,
2019/10/17,2.35,,,
2019/9/11,2.35,,,
2019/8/9,2.35,,,
2019/6/27,,2.45,,
2019/2/20,,2.45,,
2013/11/11,,,,3.5
2013/10/28,,,,3.5
2013/10/14,,,,3.5
2013/9/26,,,,3.5
2013/9/9,,,,3.5
2013/8/26,,,,3.5
2013/8/12,,,,3.5
2013/7/29,,,,3.5
2013/7/15,,,,3.37
2013/6/20,2.9089,,,
2013/6/18,2.9089,,,
