指标名称,中国:国债到期收益率:10年,中国:国债到期收益率:1年,中国:国债到期收益率:5年,中国:国债到期收益率:3年
频率,日,日,日,日
单位,%,%,%,%
指标ID,M1001654,M1001646,M1001650,M1001648
来源,中证指数公司,中证指数公司,中证指数公司,中证指数公司
2007-12-14,4.5473,3.7712,4.2099,4.0571
2007-12-17,4.565,3.7897,4.2101,4.0617
2007-12-18,4.5516,3.8043,4.212,4.0686
2007-12-19,4.5359,3.8171,4.2086,4.0654
2007-12-20,4.5438,3.7974,4.2178,4.0696
2007-12-21,4.5649,3.7708,4.2123,4.0611
2007-12-24,4.545,3.7129,4.2125,4.047
2007-12-25,4.5199,3.7,4.2022,3.9895
2007-12-26,4.5143,3.7031,4.2206,3.9914
2007-12-27,4.4999,3.7083,4.2316,4.0012
2007-12-28,4.5214,3.7529,4.2531,4.0546
2008-01-02,4.497,3.7805,4.2781,4.1043
2008-01-03,4.4882,3.763,4.2833,4.1019
2008-01-04,4.4893,3.7215,4.2485,4.0498
2008-01-07,4.4861,3.7017,4.23,4.0275
2008-01-08,4.4828,3.6996,4.2015,3.9901
2008-01-09,4.4828,3.7144,4.2228,4.0137
2008-01-10,4.4738,3.722,4.2356,4.0236
2008-01-11,4.4733,3.6773,4.2416,4.004
2008-01-14,4.4718,3.6656,4.2181,3.9653
2008-01-15,4.4886,3.6375,4.1967,3.9283
2008-01-16,4.487,3.6812,4.2432,3.9856
2008-01-17,4.4944,3.6732,4.2514,3.9828
2008-01-18,4.4656,3.6783,4.2542,4.0001
2008-01-21,4.4329,3.6752,4.2191,3.9858
2008-01-22,4.4259,3.6654,4.1991,3.9655
2008-01-23,4.4085,3.6667,4.1996,3.9716
2008-01-24,4.389,3.6621,4.1783,3.9664
2008-01-25,4.3686,3.6524,4.1433,3.9468
2008-01-28,4.3518,3.6351,4.0849,3.8918
2008-01-29,4.3308,3.599,4.0581,3.8605
2008-01-30,4.3194,3.6032,4.0679,3.8817
2008-01-31,4.3174,3.5822,4.075,3.8772
2008-02-01,4.2853,3.554,4.0283,3.8394
2008-02-04,4.1862,3.48,3.8897,3.7082
2008-02-05,4.1307,3.4657,3.8912,3.6966
2008-02-13,4.1554,3.4474,3.903,3.6801
2008-02-14,4.156,3.4469,3.8953,3.67
2008-02-15,4.1642,3.4477,3.8932,3.6708
2008-02-18,4.1485,3.4621,3.8854,3.6791
2008-02-19,4.1582,3.4796,3.9008,3.6917
2008-02-20,4.1911,3.483,3.9096,3.688
2008-02-21,4.197,3.499,3.8997,3.6983
2008-02-22,4.195,3.4911,3.8903,3.694
2008-02-25,4.1723,3.5037,3.8933,3.7132
2008-02-26,4.1883,3.5051,3.8987,3.7171
2008-02-27,4.2082,3.4995,3.9095,3.7292
2008-02-28,4.2079,3.51,3.9172,3.7355
2008-02-29,4.1907,3.5062,3.9207,3.7337
2008-03-03,4.1691,3.508,3.9181,3.7331
2008-03-04,4.1743,3.4899,3.9143,3.7324
2008-03-05,4.2044,3.4872,3.9226,3.7483
2008-03-06,4.2059,3.4712,3.9305,3.7583
2008-03-07,4.2114,3.4642,3.9267,3.7522
2008-03-10,4.2001,3.4618,3.9306,3.755
2008-03-11,4.2282,3.4695,3.9358,3.7716
2008-03-12,4.2273,3.4651,3.9493,3.7825
2008-03-13,4.2203,3.4635,3.9574,3.7969
2008-03-14,4.1829,3.4526,3.9659,3.7973
2008-03-17,4.1748,3.4574,3.9717,3.8124
2008-03-18,4.1717,3.4523,3.9547,3.7906
2008-03-19,4.2156,3.4442,3.9491,3.7719
2008-03-20,4.2131,3.4349,3.9371,3.7658
2008-03-21,4.2011,3.4095,3.9423,3.7531
2008-03-24,4.1323,3.3982,3.9366,3.7444
2008-03-25,4.1461,3.3811,3.9066,3.7092
2008-03-26,4.1306,3.3626,3.8831,3.6837
2008-03-27,4.0818,3.3536,3.8673,3.6519
2008-03-28,4.0999,3.3516,3.855,3.6414
2008-03-31,4.1027,3.3663,3.845,3.643
2008-04-01,4.0983,3.363,3.8293,3.6406
2008-04-02,4.0771,3.382,3.84,3.644
2008-04-03,4.0875,3.3875,3.8309,3.6379
2008-04-07,4.1474,3.4029,3.8354,3.6624
2008-04-08,4.1302,3.4101,3.8302,3.6738
2008-04-09,4.1015,3.4116,3.8505,3.6863
2008-04-10,4.0938,3.4266,3.8483,3.678
2008-04-11,4.081,3.4134,3.8509,3.6801
2008-04-14,4.0788,3.3934,3.8324,3.6638
2008-04-15,4.0997,3.3677,3.8077,3.6338
2008-04-16,4.0997,3.3737,3.8054,3.6312
2008-04-17,4.1052,3.3658,3.81,3.634
2008-04-18,4.0955,3.3543,3.8098,3.6404
2008-04-21,4.1035,3.3459,3.8107,3.6441
2008-04-22,4.1176,3.356,3.7922,3.6236
2008-04-23,4.1211,3.3657,3.7915,3.6241
2008-04-24,4.1251,3.3605,3.8088,3.6243
2008-04-25,4.1185,3.3633,3.8196,3.6384
2008-04-28,4.1236,3.3774,3.8239,3.6428
2008-04-29,4.1444,3.3915,3.817,3.6382
2008-04-30,4.1436,3.4032,3.8163,3.6372
2008-05-05,4.1462,3.3748,3.8206,3.6148
2008-05-06,4.1759,3.3665,3.8468,3.6138
2008-05-07,4.1644,3.3837,3.8406,3.6362
2008-05-08,4.1858,3.4027,3.865,3.6694
2008-05-09,4.1853,3.397,3.8734,3.6832
2008-05-12,4.2019,3.3928,3.8952,3.6895
2008-05-13,4.2023,3.3975,3.8816,3.6724
2008-05-14,4.2029,3.4127,3.8871,3.6715
2008-05-15,4.1956,3.4216,3.8775,3.6836
2008-05-16,4.1974,3.4427,3.9027,3.7134
2008-05-19,4.2252,3.419,3.932,3.7295
2008-05-20,4.2283,3.4499,3.9419,3.7282
2008-05-21,4.2273,3.445,3.9463,3.719
2008-05-22,4.2049,3.446,3.9115,3.6989
2008-05-23,4.2027,3.4433,3.9092,3.6956
2008-05-26,4.2207,3.4552,3.925,3.7107
2008-05-27,4.2118,3.4749,3.923,3.7138
2008-05-28,4.2039,3.4641,3.9136,3.7045
2008-05-29,4.1896,3.4637,3.911,3.716
2008-05-30,4.1965,3.4432,3.9076,3.7147
2008-06-02,4.2237,3.4556,3.9106,3.7217
2008-06-03,4.2202,3.44,3.8943,3.6932
2008-06-04,4.2099,3.4515,3.896,3.6989
2008-06-05,4.1887,3.44,3.8793,3.6787
2008-06-06,4.1948,3.4746,3.8894,3.7066
2008-06-10,4.2167,3.4901,3.9027,3.7133
2008-06-11,4.2483,3.5131,3.9485,3.7479
2008-06-12,4.2925,3.5384,3.9857,3.776
2008-06-13,4.3273,3.5417,4.0121,3.7981
2008-06-16,4.354,3.544,4.0229,3.7982
2008-06-17,4.35,3.5418,4.0162,3.789
2008-06-18,4.3499,3.5375,4.0137,3.777
2008-06-19,4.3485,3.5184,4.0075,3.7606
2008-06-20,4.3507,3.5155,4.0236,3.7671
2008-06-23,4.3844,3.5192,4.0421,3.7767
2008-06-24,4.3992,3.531,4.0637,3.8053
2008-06-25,4.3805,3.522,4.0525,3.7871
2008-06-26,4.3891,3.52,4.0647,3.7942
2008-06-27,4.4191,3.5421,4.0984,3.8222
2008-06-30,4.4861,3.5909,4.1748,3.8967
2008-07-01,4.502,3.6249,4.1882,3.9516
2008-07-02,4.5066,3.6388,4.2078,3.9532
2008-07-03,4.5173,3.64,4.1958,3.9372
2008-07-04,4.5465,3.6367,4.2229,3.9272
2008-07-07,4.5449,3.6507,4.2137,3.9355
2008-07-08,4.5295,3.6594,4.2232,3.9437
2008-07-09,4.5298,3.6588,4.204,3.9416
2008-07-10,4.5088,3.662,4.1972,3.9363
2008-07-11,4.5207,3.638,4.1597,3.9032
2008-07-14,4.4863,3.6197,4.1557,3.8876
2008-07-15,4.4807,3.6051,4.1375,3.8706
2008-07-16,4.4848,3.6068,4.1464,3.8812
2008-07-17,4.4718,3.6187,4.1447,3.9046
2008-07-18,4.4749,3.6217,4.1532,3.9113
2008-07-21,4.4724,3.6322,4.1579,3.922
2008-07-22,4.5193,3.6352,4.1501,3.9202
2008-07-23,4.5135,3.6345,4.151,3.9184
2008-07-24,4.4943,3.6284,4.1547,3.9057
2008-07-25,4.4925,3.6341,4.1559,3.9042
2008-07-28,4.496,3.6483,4.1559,3.9131
2008-07-29,4.5211,3.6509,4.1535,3.9168
2008-07-30,4.5201,3.6505,4.1493,3.9178
2008-07-31,4.521,3.6537,4.1441,3.9201
2008-08-01,4.5297,3.6616,4.1407,3.9271
2008-08-04,4.5306,3.6844,4.1443,3.9447
2008-08-05,4.5279,3.6919,4.1537,3.9559
2008-08-06,4.4811,3.6883,4.1655,3.9565
2008-08-07,4.4798,3.6778,4.1692,3.947
2008-08-08,4.4874,3.6641,4.1717,3.9343
2008-08-11,4.5295,3.6668,4.1702,3.9285
2008-08-12,4.5418,3.6611,4.1726,3.928
2008-08-13,4.5372,3.653,4.1699,3.9286
2008-08-14,4.5398,3.6375,4.1653,3.9346
2008-08-15,4.5282,3.6337,4.158,3.9313
2008-08-18,4.5336,3.6363,4.1424,3.9229
2008-08-19,4.5125,3.634,4.1344,3.9217
2008-08-20,4.4982,3.6308,4.1291,3.9192
2008-08-21,4.4641,3.601,4.1244,3.9001
2008-08-22,4.4494,3.5831,4.1068,3.8756
2008-08-25,4.4407,3.5673,4.092,3.8549
2008-08-26,4.4263,3.5673,4.0827,3.8614
2008-08-27,4.404,3.5691,4.0724,3.8648
2008-08-28,4.3784,3.5767,4.0555,3.8645
2008-08-29,4.3466,3.5532,4.0389,3.8544
2008-09-01,4.3111,3.529,4.0108,3.829
2008-09-02,4.2791,3.52,3.982,3.809
2008-09-03,4.2538,3.5008,3.9629,3.7929
2008-09-04,4.2309,3.4902,3.9612,3.7942
2008-09-05,4.2288,3.4874,3.9595,3.7885
2008-09-08,4.2362,3.4748,3.9613,3.7859
2008-09-09,4.2302,3.4612,3.9529,3.7729
2008-09-10,4.2129,3.4482,3.9333,3.7608
2008-09-11,4.18,3.4312,3.9032,3.7515
2008-09-12,4.1375,3.4093,3.8691,3.7145
2008-09-16,4.0652,3.3456,3.7646,3.6034
2008-09-17,3.9312,3.2833,3.602,3.4408
2008-09-18,3.799,3.1831,3.4944,3.3302
2008-09-19,3.7839,3.2125,3.447,3.3366
2008-09-22,3.7765,3.2789,3.5103,3.3995
2008-09-23,3.7938,3.3105,3.5805,3.4467
2008-09-24,3.7772,3.3332,3.6272,3.4796
2008-09-25,3.8162,3.3438,3.6341,3.4883
2008-09-26,3.787,3.3453,3.6149,3.4712
2008-10-06,3.8139,3.2966,3.5603,3.4214
2008-10-07,3.7496,3.3129,3.5317,3.4399
2008-10-08,3.6758,3.2827,3.4628,3.3786
2008-10-09,3.5157,3.0928,3.2687,3.199
2008-10-10,3.3544,2.9208,3.1015,2.9982
2008-10-13,3.2145,2.8144,2.9663,2.8737
2008-10-14,3.2249,2.768,2.9819,2.8466
2008-10-15,3.2158,2.766,3.0059,2.8522
2008-10-16,3.2327,2.7589,3.0305,2.8528
2008-10-17,3.2552,2.7382,3.0124,2.8256
2008-10-20,3.2718,2.7459,3.0142,2.8319
2008-10-21,3.2766,2.7493,3.0229,2.8464
2008-10-22,3.2636,2.7554,3.0218,2.8654
2008-10-23,3.3127,2.7402,3.0014,2.8779
2008-10-24,3.3015,2.7139,3.0362,2.8671
2008-10-27,3.3261,2.7208,2.9919,2.8761
2008-10-28,3.2575,2.6995,2.9785,2.8442
2008-10-29,3.2068,2.6932,2.9386,2.8474
2008-10-30,3.1633,2.641,2.9296,2.8004
