指标名称,中国:金融机构:支小再贷款余额
频率,季
单位,亿元
指标ID,M6193652
来源,中国人民银行
2014-06-30,261.0
2014-09-30,465.0
2014-12-31,524.0
2015-03-31,618.0
2015-06-30,596.0
2015-09-30,708.0
2015-12-31,752.0
2016-03-31,622.0
2016-06-30,606.0
2016-09-30,454.0
2016-12-31,537.0
2017-03-31,682.0
2017-06-30,759.0
2017-09-30,823.0
2017-12-31,929.0
2018-03-31,928.0
2018-06-30,944.0
2018-09-30,1276.0
2018-12-31,2172.0
2019-03-31,2253.0
2019-06-30,2267.0
2019-09-30,2634.0
2019-12-31,2832.0
2020-03-31,3704.0
2020-06-30,6214.0
2020-09-30,8008.0
2020-12-31,9756.0
2021-03-31,9295.0
2021-06-30,8882.0
2021-09-30,9937.0
2021-12-31,12351.0
2022-03-31,13315.0
2022-06-30,13997.0
2022-09-30,13863.0
2022-12-31,14171.0
2023-03-31,14331.0
2023-06-30,14231.0
2023-09-30,15655.0
2023-12-31,17000.0
2024-03-31,17000.0
2024-06-30,17000.0
2024-09-30,17000.0

数据来源：Wind














































