代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅,成交额(百万),成交量(股)
GDAXI.GI,德国DAX,1959-10-01,366.2,366.2,366.2,366.2,0,0,0
GDAXI.GI,德国DAX,1959-10-02,362,362,362,362,-0.0115,0,0
GDAXI.GI,德国DAX,1959-10-05,352,352,352,352,-0.0276,0,0
GDAXI.GI,德国DAX,1959-10-06,347.5,347.5,347.5,347.5,-0.0128,0,0
GDAXI.GI,德国DAX,1959-10-07,349.5,349.5,349.5,349.5,0.0058,0,0
GDAXI.GI,德国DAX,1959-10-08,355.9,355.9,355.9,355.9,0.0183,0,0
GDAXI.GI,德国DAX,1959-10-09,358.1,358.1,358.1,358.1,0.0062,0,0
GDAXI.GI,德国DAX,1959-10-12,348.6,348.6,348.6,348.6,-0.0265,0,0
GDAXI.GI,德国DAX,1959-10-13,344.6,344.6,344.6,344.6,-0.0115,0,0
GDAXI.GI,德国DAX,1959-10-14,344.8,344.8,344.8,344.8,0.0006,0,0
GDAXI.GI,德国DAX,1959-10-16,337.4,337.4,337.4,337.4,-0.0215,0,0
GDAXI.GI,德国DAX,1959-10-19,328.5,328.5,328.5,328.5,-0.0264,0,0
GDAXI.GI,德国DAX,1959-10-20,333.3,333.3,333.3,333.3,0.0146,0,0
GDAXI.GI,德国DAX,1959-10-21,351.9,351.9,351.9,351.9,0.0558,0,0
GDAXI.GI,德国DAX,1959-10-22,354.7,354.7,354.7,354.7,0.008,0,0
GDAXI.GI,德国DAX,1959-10-23,357,357,357,357,0.0065,0,0
GDAXI.GI,德国DAX,1959-10-26,364,364,364,364,0.0196,0,0
GDAXI.GI,德国DAX,1959-10-27,362.9,362.9,362.9,362.9,-0.003,0,0
GDAXI.GI,德国DAX,1959-10-28,359.5,359.5,359.5,359.5,-0.0094,0,0
GDAXI.GI,德国DAX,1959-10-29,361,361,361,361,0.0042,0,0
GDAXI.GI,德国DAX,1959-10-30,369.6,369.6,369.6,369.6,0.0238,0,0
GDAXI.GI,德国DAX,1959-11-03,369,369,369,369,-0.0016,0,0
GDAXI.GI,德国DAX,1959-11-04,372.6,372.6,372.6,372.6,0.0098,0,0
GDAXI.GI,德国DAX,1959-11-05,372.1,372.1,372.1,372.1,-0.0013,0,0
GDAXI.GI,德国DAX,1959-11-06,372.2,372.2,372.2,372.2,0.0003,0,0
GDAXI.GI,德国DAX,1959-11-09,374.6,374.6,374.6,374.6,0.0064,0,0
GDAXI.GI,德国DAX,1959-11-10,377.7,377.7,377.7,377.7,0.0083,0,0
GDAXI.GI,德国DAX,1959-11-13,377.9,377.9,377.9,377.9,0.0005,0,0
GDAXI.GI,德国DAX,1959-11-16,378.6,378.6,378.6,378.6,0.0019,0,0
