代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅,成交额(百万),成交量(股)
N225.GI,日经225,1949-05-16,176.21,176.21,176.21,176.21,0,0,0
N225.GI,日经225,1949-05-17,174.8,174.8,174.8,174.8,-0.008,0,0
N225.GI,日经225,1949-05-18,172.53,172.53,172.53,172.53,-0.013,0,0
N225.GI,日经225,1949-05-19,171.34,171.34,171.34,171.34,-0.0069,0,0
N225.GI,日经225,1949-05-20,169.2,169.2,169.2,169.2,-0.0125,0,0
N225.GI,日经225,1949-05-21,169.92,169.92,169.92,169.92,0.0043,0,0
N225.GI,日经225,1949-05-23,171.85,171.85,171.85,171.85,0.0114,0,0
N225.GI,日经225,1949-05-24,172.75,172.75,172.75,172.75,0.0052,0,0
N225.GI,日经225,1949-05-25,171.53,171.53,171.53,171.53,-0.0071,0,0
N225.GI,日经225,1949-05-26,170.43,170.43,170.43,170.43,-0.0064,0,0
N225.GI,日经225,1949-05-27,172.76,172.76,172.76,172.76,0.0137,0,0
N225.GI,日经225,1949-05-28,176.3,176.3,176.3,176.3,0.0205,0,0
N225.GI,日经225,1949-05-30,176.21,176.21,176.21,176.21,-0.0005,0,0
N225.GI,日经225,1949-05-31,176.52,176.52,176.52,176.52,0.0018,0,0
N225.GI,日经225,1949-06-01,175.97,175.97,175.97,175.97,-0.0031,0,0
N225.GI,日经225,1949-06-02,174.76,174.76,174.76,174.76,-0.0069,0,0
N225.GI,日经225,1949-06-03,175.48,175.48,175.48,175.48,0.0041,0,0
N225.GI,日经225,1949-06-04,175.98,175.98,175.98,175.98,0.0028,0,0
N225.GI,日经225,1949-06-06,174.92,174.92,174.92,174.92,-0.006,0,0
N225.GI,日经225,1949-06-07,173.83,173.83,173.83,173.83,-0.0062,0,0
N225.GI,日经225,1949-06-08,171.53,171.53,171.53,171.53,-0.0132,0,0
N225.GI,日经225,1949-06-09,170.15,170.15,170.15,170.15,-0.008,0,0
N225.GI,日经225,1949-06-10,167.98,167.98,167.98,167.98,-0.0128,0,0
N225.GI,日经225,1949-06-11,167.86,167.86,167.86,167.86,-0.0007,0,0
N225.GI,日经225,1949-06-13,165.27,165.27,165.27,165.27,-0.0154,0,0
N225.GI,日经225,1949-06-14,158.98,158.98,158.98,158.98,-0.0381,0,0
N225.GI,日经225,1949-06-15,153.81,153.81,153.81,153.81,-0.0325,0,0
N225.GI,日经225,1949-06-16,157.8,157.8,157.8,157.8,0.0259,0,0
N225.GI,日经225,1949-06-17,160.13,160.13,160.13,160.13,0.0148,0,0
N225.GI,日经225,1949-06-18,160.42,160.42,160.42,160.42,0.0018,0,0
N225.GI,日经225,1949-06-20,155.45,155.45,155.45,155.45,-0.031,0,0
N225.GI,日经225,1949-06-21,152.99,152.99,152.99,152.99,-0.0158,0,0
N225.GI,日经225,1949-06-22,155.01,155.01,155.01,155.01,0.0132,0,0
N225.GI,日经225,1949-06-23,155.76,155.76,155.76,155.76,0.0048,0,0
N225.GI,日经225,1949-06-24,154.04,154.04,154.04,154.04,-0.011,0,0
N225.GI,日经225,1949-06-25,153.35,153.35,153.35,153.35,-0.0045,0,0
N225.GI,日经225,1949-06-27,150.58,150.58,150.58,150.58,-0.0181,0,0
N225.GI,日经225,1949-06-28,147.13,147.13,147.13,147.13,-0.0229,0,0
N225.GI,日经225,1949-06-29,146.14,146.14,146.14,146.14,-0.0067,0,0
N225.GI,日经225,1949-06-30,146.92,146.92,146.92,146.92,0.0053,0,0
N225.GI,日经225,1949-07-01,147.37,147.37,147.37,147.37,0.0031,0,0
N225.GI,日经225,1949-07-02,150,150,150,150,0.0178,0,0
N225.GI,日经225,1949-07-04,149.14,149.14,149.14,149.14,-0.0057,0,0
N225.GI,日经225,1949-07-05,146.52,146.52,146.52,146.52,-0.0176,0,0
N225.GI,日经225,1949-07-06,144.18,144.18,144.18,144.18,-0.016,0,0
N225.GI,日经225,1949-07-07,143.66,143.66,143.66,143.66,-0.0036,0,0
N225.GI,日经225,1949-07-08,142.16,142.16,142.16,142.16,-0.0104,0,0
N225.GI,日经225,1949-07-09,140.03,140.03,140.03,140.03,-0.015,0,0
N225.GI,日经225,1949-07-11,135.84,135.84,135.84,135.84,-0.0299,0,0
