代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅,成交额(百万),成交量(股)
EURCNY.FX,欧元兑人民币,1999-01-01,9.6838,9.6838,9.6838,9.6838,0,0,0
EURCNY.FX,欧元兑人民币,1999-01-04,9.8002,9.8002,9.8002,9.8002,0.012,0,0
EURCNY.FX,欧元兑人民币,1999-01-05,9.7375,9.7375,9.7375,9.7375,-0.0064,0,0
EURCNY.FX,欧元兑人民币,1999-01-06,9.6274,9.6274,9.6274,9.6274,-0.0113,0,0
EURCNY.FX,欧元兑人民币,1999-01-07,9.6975,9.6975,9.6975,9.6975,0.0073,0,0
EURCNY.FX,欧元兑人民币,1999-01-08,9.5919,9.5919,9.5919,9.5919,-0.0109,0,0
EURCNY.FX,欧元兑人民币,1999-01-11,9.5167,9.5167,9.5167,9.5167,-0.0078,0,0
EURCNY.FX,欧元兑人民币,1999-01-12,9.5711,9.5711,9.5711,9.5711,0.0057,0,0
EURCNY.FX,欧元兑人民币,1999-01-13,9.6612,9.6612,9.6612,9.6612,0.0094,0,0
EURCNY.FX,欧元兑人民币,1999-01-14,9.6782,9.6782,9.6782,9.6782,0.0018,0,0
EURCNY.FX,欧元兑人民币,1999-01-15,9.5664,9.5664,9.5664,9.5664,-0.0116,0,0
EURCNY.FX,欧元兑人民币,1999-01-18,9.6142,9.6142,9.6142,9.6142,0.005,0,0
EURCNY.FX,欧元兑人民币,1999-01-19,9.5992,9.5992,9.5992,9.5992,-0.0016,0,0
EURCNY.FX,欧元兑人民币,1999-01-20,9.5748,9.5748,9.5748,9.5748,-0.0025,0,0
EURCNY.FX,欧元兑人民币,1999-01-21,9.6052,9.6052,9.6052,9.6052,0.0032,0,0
EURCNY.FX,欧元兑人民币,1999-01-22,9.5934,9.5934,9.5934,9.5934,-0.0012,0,0
EURCNY.FX,欧元兑人民币,1999-01-25,9.5491,9.5491,9.5491,9.5491,-0.0046,0,0
EURCNY.FX,欧元兑人民币,1999-01-26,9.5694,9.5694,9.5694,9.5694,0.0021,0,0
EURCNY.FX,欧元兑人民币,1999-01-27,9.4731,9.4731,9.4731,9.4731,-0.0101,0,0
EURCNY.FX,欧元兑人民币,1999-01-28,9.4532,9.4532,9.4532,9.4532,-0.0021,0,0
EURCNY.FX,欧元兑人民币,1999-01-29,9.4052,9.4052,9.4052,9.4052,-0.0051,0,0
EURCNY.FX,欧元兑人民币,1999-02-01,9.361,9.361,9.361,9.361,-0.0047,0,0
EURCNY.FX,欧元兑人民币,1999-02-02,9.3958,9.3958,9.3958,9.3958,0.0037,0,0
EURCNY.FX,欧元兑人民币,1999-02-03,9.3653,9.3653,9.3653,9.3653,-0.0032,0,0
EURCNY.FX,欧元兑人民币,1999-02-04,9.3866,9.3866,9.3866,9.3866,0.0023,0,0
EURCNY.FX,欧元兑人民币,1999-02-05,9.3254,9.3254,9.3254,9.3254,-0.0065,0,0
EURCNY.FX,欧元兑人民币,1999-02-08,9.3727,9.3727,9.3727,9.3727,0.0051,0,0
EURCNY.FX,欧元兑人民币,1999-02-09,9.3661,9.3661,9.3661,9.3661,-0.0007,0,0
EURCNY.FX,欧元兑人民币,1999-02-10,9.3752,9.3752,9.3752,9.3752,0.001,0,0
EURCNY.FX,欧元兑人民币,1999-02-11,9.29,9.29,9.29,9.29,-0.0091,0,0
EURCNY.FX,欧元兑人民币,1999-02-12,9.3612,9.3612,9.3612,9.3612,0.0077,0,0
EURCNY.FX,欧元兑人民币,1999-02-15,9.2912,9.2912,9.2912,9.2912,-0.0075,0,0
EURCNY.FX,欧元兑人民币,1999-02-16,9.2796,9.2796,9.2796,9.2796,-0.0012,0,0
EURCNY.FX,欧元兑人民币,1999-02-17,9.3119,9.3119,9.3119,9.3119,0.0035,0,0
EURCNY.FX,欧元兑人民币,1999-02-18,9.268,9.268,9.268,9.268,-0.0047,0,0
EURCNY.FX,欧元兑人民币,1999-02-19,9.1637,9.1637,9.1637,9.1637,-0.0113,0,0
EURCNY.FX,欧元兑人民币,1999-02-22,9.124,9.124,9.124,9.124,-0.0043,0,0
EURCNY.FX,欧元兑人民币,1999-02-23,9.1116,9.1116,9.1116,9.1116,-0.0014,0,0
EURCNY.FX,欧元兑人民币,1999-02-24,9.1124,9.1124,9.1124,9.1124,0.0001,0,0
EURCNY.FX,欧元兑人民币,1999-02-25,9.1352,9.1352,9.1352,9.1352,0.0025,0,0
EURCNY.FX,欧元兑人民币,1999-02-26,9.13,9.13,9.13,9.13,-0.0006,0,0
EURCNY.FX,欧元兑人民币,1999-03-01,9.0177,9.0177,9.0177,9.0177,-0.0123,0,0
EURCNY.FX,欧元兑人民币,1999-03-02,9.0579,9.0579,9.0579,9.0579,0.0045,0,0
EURCNY.FX,欧元兑人民币,1999-03-03,9.0033,9.0033,9.0033,9.0033,-0.006,0,0
EURCNY.FX,欧元兑人民币,1999-03-04,8.9397,8.9397,8.9397,8.9397,-0.0071,0,0
EURCNY.FX,欧元兑人民币,1999-03-05,8.9597,8.9597,8.9597,8.9597,0.0022,0,0
EURCNY.FX,欧元兑人民币,1999-03-08,9.0137,9.0137,9.0137,9.0137,0.006,0,0
EURCNY.FX,欧元兑人民币,1999-03-09,9.0085,9.0085,9.0085,9.0085,-0.0006,0,0
EURCNY.FX,欧元兑人民币,1999-03-10,9.0595,9.0595,9.0595,9.0595,0.0057,0,0
EURCNY.FX,欧元兑人民币,1999-03-11,9.1416,9.1416,9.1416,9.1416,0.0091,0,0
EURCNY.FX,欧元兑人民币,1999-03-12,9.0281,9.0281,9.0281,9.0281,-0.0124,0,0
EURCNY.FX,欧元兑人民币,1999-03-15,9.0505,9.0505,9.0505,9.0505,0.0025,0,0
EURCNY.FX,欧元兑人民币,1999-03-16,9.1035,9.1035,9.1035,9.1035,0.0059,0,0
EURCNY.FX,欧元兑人民币,1999-03-17,9.1083,9.1083,9.1083,9.1083,0.0005,0,0
EURCNY.FX,欧元兑人民币,1999-03-18,9.0835,9.0835,9.0835,9.0835,-0.0027,0,0
EURCNY.FX,欧元兑人民币,1999-03-19,9.0206,9.0206,9.0206,9.0206,-0.0069,0,0
EURCNY.FX,欧元兑人民币,1999-03-22,9.0301,9.0301,9.0301,9.0301,0.0011,0,0
EURCNY.FX,欧元兑人民币,1999-03-23,9.018,9.018,9.018,9.018,-0.0013,0,0
EURCNY.FX,欧元兑人民币,1999-03-24,8.9998,8.9998,8.9998,8.9998,-0.002,0,0
EURCNY.FX,欧元兑人民币,1999-03-25,8.9745,8.9745,8.9745,8.9745,-0.0028,0,0
EURCNY.FX,欧元兑人民币,1999-03-26,8.9422,8.9422,8.9422,8.9422,-0.0036,0,0
EURCNY.FX,欧元兑人民币,1999-03-29,8.8858,8.8858,8.8858,8.8858,-0.0063,0,0
EURCNY.FX,欧元兑人民币,1999-03-30,8.8861,8.8861,8.8861,8.8861,0,0,0
EURCNY.FX,欧元兑人民币,1999-03-31,8.9109,8.9109,8.9109,8.9109,0.0028,0,0
EURCNY.FX,欧元兑人民币,1999-04-01,8.9378,8.9378,8.9378,8.9378,0.003,0,0
EURCNY.FX,欧元兑人民币,1999-04-02,8.9302,8.9302,8.9302,8.9302,-0.0009,0,0
EURCNY.FX,欧元兑人民币,1999-04-05,8.869,8.869,8.869,8.869,-0.0069,0,0
EURCNY.FX,欧元兑人民币,1999-04-06,8.9669,8.9669,8.9669,8.9669,0.011,0,0
EURCNY.FX,欧元兑人民币,1999-04-07,8.9214,8.9214,8.9214,8.9214,-0.0051,0,0
EURCNY.FX,欧元兑人民币,1999-04-08,8.8943,8.8943,8.8943,8.8943,-0.003,0,0
EURCNY.FX,欧元兑人民币,1999-04-09,8.9396,8.9396,8.9396,8.9396,0.0051,0,0
EURCNY.FX,欧元兑人民币,1999-04-12,8.9454,8.9454,8.9454,8.9454,0.0006,0,0
EURCNY.FX,欧元兑人民币,1999-04-13,8.9272,8.9272,8.9272,8.9272,-0.002,0,0
EURCNY.FX,欧元兑人民币,1999-04-14,8.9437,8.9437,8.9437,8.9437,0.0018,0,0
EURCNY.FX,欧元兑人民币,1999-04-15,8.8692,8.8692,8.8692,8.8692,-0.0083,0,0
EURCNY.FX,欧元兑人民币,1999-04-16,8.8623,8.8623,8.8623,8.8623,-0.0008,0,0
EURCNY.FX,欧元兑人民币,1999-04-19,8.8251,8.8251,8.8251,8.8251,-0.0042,0,0
EURCNY.FX,欧元兑人民币,1999-04-20,8.7959,8.7959,8.7959,8.7959,-0.0033,0,0
EURCNY.FX,欧元兑人民币,1999-04-21,8.7618,8.7618,8.7618,8.7618,-0.0039,0,0
EURCNY.FX,欧元兑人民币,1999-04-22,8.8131,8.8131,8.8131,8.8131,0.0059,0,0
EURCNY.FX,欧元兑人民币,1999-04-23,8.7743,8.7743,8.7743,8.7743,-0.0044,0,0
EURCNY.FX,欧元兑人民币,1999-04-26,8.7678,8.7678,8.7678,8.7678,-0.0007,0,0
EURCNY.FX,欧元兑人民币,1999-04-27,8.8275,8.8275,8.8275,8.8275,0.0068,0,0
EURCNY.FX,欧元兑人民币,1999-04-28,8.7924,8.7924,8.7924,8.7924,-0.004,0,0
EURCNY.FX,欧元兑人民币,1999-04-29,8.7828,8.7828,8.7828,8.7828,-0.0011,0,0
EURCNY.FX,欧元兑人民币,1999-04-30,8.7509,8.7509,8.7509,8.7509,-0.0036,0,0
EURCNY.FX,欧元兑人民币,1999-05-03,8.7484,8.7484,8.7484,8.7484,-0.0003,0,0
EURCNY.FX,欧元兑人民币,1999-05-04,8.8003,8.8003,8.8003,8.8003,0.0059,0,0
EURCNY.FX,欧元兑人民币,1999-05-05,8.9098,8.9098,8.9098,8.9098,0.0124,0,0
EURCNY.FX,欧元兑人民币,1999-05-06,8.9344,8.9344,8.9344,8.9344,0.0028,0,0
EURCNY.FX,欧元兑人民币,1999-05-07,8.9054,8.9054,8.9054,8.9054,-0.0032,0,0
EURCNY.FX,欧元兑人民币,1999-05-10,8.9259,8.9259,8.9259,8.9259,0.0023,0,0
EURCNY.FX,欧元兑人民币,1999-05-11,8.8676,8.8676,8.8676,8.8676,-0.0065,0,0
EURCNY.FX,欧元兑人民币,1999-05-12,8.8142,8.8142,8.8142,8.8142,-0.006,0,0
EURCNY.FX,欧元兑人民币,1999-05-13,8.821,8.821,8.821,8.821,0.0008,0,0
EURCNY.FX,欧元兑人民币,1999-05-14,8.8236,8.8236,8.8236,8.8236,0.0003,0,0
EURCNY.FX,欧元兑人民币,1999-05-17,8.8339,8.8339,8.8339,8.8339,0.0012,0,0
EURCNY.FX,欧元兑人民币,1999-05-18,8.8368,8.8368,8.8368,8.8368,0.0003,0,0
EURCNY.FX,欧元兑人民币,1999-05-19,8.8273,8.8273,8.8273,8.8273,-0.0011,0,0
EURCNY.FX,欧元兑人民币,1999-05-20,8.7937,8.7937,8.7937,8.7937,-0.0038,0,0
EURCNY.FX,欧元兑人民币,1999-05-21,8.7614,8.7614,8.7614,8.7614,-0.0037,0,0
EURCNY.FX,欧元兑人民币,1999-05-24,8.7809,8.7809,8.7809,8.7809,0.0022,0,0
EURCNY.FX,欧元兑人民币,1999-05-25,8.7953,8.7953,8.7953,8.7953,0.0016,0,0
EURCNY.FX,欧元兑人民币,1999-05-26,8.6461,8.6461,8.6461,8.6461,-0.017,0,0
EURCNY.FX,欧元兑人民币,1999-05-27,8.6285,8.6285,8.6285,8.6285,-0.002,0,0
EURCNY.FX,欧元兑人民币,1999-05-28,8.6334,8.6334,8.6334,8.6334,0.0006,0,0
EURCNY.FX,欧元兑人民币,1999-05-31,8.6262,8.6262,8.6262,8.6262,-0.0008,0,0
EURCNY.FX,欧元兑人民币,1999-06-01,8.6492,8.6492,8.6492,8.6492,0.0027,0,0
EURCNY.FX,欧元兑人民币,1999-06-02,8.5753,8.5753,8.5753,8.5753,-0.0085,0,0
