代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅,成交额(百万),成交量(股)
AUDCNY.FX,澳元兑人民币,2006-01-02,5.9116,5.936,5.9051,5.9167,0.0009,0,0
AUDCNY.FX,澳元兑人民币,2006-01-03,5.9124,5.9845,5.9003,5.9699,0.009,0,0
AUDCNY.FX,澳元兑人民币,2006-01-04,5.9721,6.0393,5.9672,6.0329,0.0106,0,0
AUDCNY.FX,澳元兑人民币,2006-01-05,6.0212,6.0396,6.0002,6.0291,-0.0006,0,0
AUDCNY.FX,澳元兑人民币,2006-01-06,6.026,6.0919,6.0058,6.0822,0.0088,0,0
AUDCNY.FX,澳元兑人民币,2006-01-09,6.0714,6.0864,6.0466,6.0823,0,0,0
AUDCNY.FX,澳元兑人民币,2006-01-10,6.0772,6.0859,6.0327,6.0383,-0.0072,0,0
AUDCNY.FX,澳元兑人民币,2006-01-11,6.036,6.1062,6.0288,6.0917,0.0088,0,0
AUDCNY.FX,澳元兑人民币,2006-01-12,6.0882,6.1053,6.0431,6.0522,-0.0065,0,0
AUDCNY.FX,澳元兑人民币,2006-01-13,6.0479,6.0955,6.0447,6.0923,0.0066,0,0
AUDCNY.FX,澳元兑人民币,2006-01-16,6.0872,6.1165,6.0716,6.088,-0.0007,0,0
AUDCNY.FX,澳元兑人民币,2006-01-17,6.0796,6.0976,6.0527,6.0686,-0.0032,0,0
AUDCNY.FX,澳元兑人民币,2006-01-18,6.0688,6.0758,6.0181,6.0315,-0.0061,0,0
AUDCNY.FX,澳元兑人民币,2006-01-19,6.0294,6.0426,6.002,6.0285,-0.0005,0,0
AUDCNY.FX,澳元兑人民币,2006-01-20,6.025,6.0471,6.0121,6.0285,0,0,0
AUDCNY.FX,澳元兑人民币,2006-01-23,6.0315,6.0875,6.0226,6.0762,0.0079,0,0
AUDCNY.FX,澳元兑人民币,2006-01-24,6.0731,6.0826,6.0336,6.0616,-0.0024,0,0
AUDCNY.FX,澳元兑人民币,2006-01-25,6.0585,6.0951,6.0472,6.0741,0.0021,0,0
AUDCNY.FX,澳元兑人民币,2006-01-26,6.0712,6.0953,6.0514,6.0606,-0.0022,0,0
AUDCNY.FX,澳元兑人民币,2006-01-27,6.0539,6.0842,6.0368,6.0439,-0.0028,0,0
AUDCNY.FX,澳元兑人民币,2006-01-30,6.0457,6.06,6.0272,6.0342,-0.0016,0,0
AUDCNY.FX,澳元兑人民币,2006-01-31,6.0368,6.1184,6.032,6.1168,0.0137,0,0
AUDCNY.FX,澳元兑人民币,2006-02-01,6.1118,6.1192,6.0642,6.0685,-0.0079,0,0
AUDCNY.FX,澳元兑人民币,2006-02-02,6.0667,6.0926,6.0489,6.0733,0.0008,0,0
AUDCNY.FX,澳元兑人民币,2006-02-03,6.0723,6.0793,6.0239,6.0406,-0.0054,0,0
AUDCNY.FX,澳元兑人民币,2006-02-06,6.0441,6.0479,5.9702,5.9788,-0.0102,0,0
AUDCNY.FX,澳元兑人民币,2006-02-07,5.9726,6.0025,5.951,5.963,-0.0026,0,0
AUDCNY.FX,澳元兑人民币,2006-02-08,5.9567,5.9712,5.9299,5.9535,-0.0016,0,0
AUDCNY.FX,澳元兑人民币,2006-02-09,5.9492,5.9757,5.9426,5.96,0.0011,0,0
AUDCNY.FX,澳元兑人民币,2006-02-10,5.9619,5.9888,5.9291,5.9357,-0.0041,0,0
AUDCNY.FX,澳元兑人民币,2006-02-13,5.9331,5.9553,5.923,5.9328,-0.0005,0,0
AUDCNY.FX,澳元兑人民币,2006-02-14,5.9261,5.9741,5.9163,5.9717,0.0066,0,0
AUDCNY.FX,澳元兑人民币,2006-02-15,5.9694,5.9979,5.9362,5.9455,-0.0044,0,0
AUDCNY.FX,澳元兑人民币,2006-02-16,5.9507,5.958,5.9225,5.9476,0.0004,0,0
AUDCNY.FX,澳元兑人民币,2006-02-17,5.9459,5.9714,5.9102,5.9486,0.0002,0,0
AUDCNY.FX,澳元兑人民币,2006-02-20,5.9448,5.9716,5.9391,5.9656,0.0029,0,0
AUDCNY.FX,澳元兑人民币,2006-02-21,5.9612,5.9693,5.929,5.9478,-0.003,0,0
AUDCNY.FX,澳元兑人民币,2006-02-22,5.9478,5.9543,5.9047,5.9251,-0.0038,0,0
AUDCNY.FX,澳元兑人民币,2006-02-23,5.9264,5.9741,5.9079,5.9459,0.0035,0,0
AUDCNY.FX,澳元兑人民币,2006-02-24,5.944,5.9662,5.9344,5.949,0.0005,0,0
AUDCNY.FX,澳元兑人民币,2006-02-27,5.9419,5.9561,5.9189,5.9248,-0.0041,0,0
AUDCNY.FX,澳元兑人民币,2006-02-28,5.9277,5.9805,5.9155,5.97,0.0076,0,0
AUDCNY.FX,澳元兑人民币,2006-03-01,5.9689,6.0017,5.9464,5.9848,0.0025,0,0
AUDCNY.FX,澳元兑人民币,2006-03-02,5.9817,6.0166,5.9793,6.015,0.005,0,0
AUDCNY.FX,澳元兑人民币,2006-03-03,6.0111,6.027,5.9617,5.9889,-0.0043,0,0
AUDCNY.FX,澳元兑人民币,2006-03-06,5.981,6.0163,5.9399,5.9502,-0.0065,0,0
AUDCNY.FX,澳元兑人民币,2006-03-07,5.9479,5.955,5.8912,5.8979,-0.0088,0,0
AUDCNY.FX,澳元兑人民币,2006-03-08,5.8952,5.9265,5.8773,5.9076,0.0016,0,0
AUDCNY.FX,澳元兑人民币,2006-03-09,5.9054,5.9351,5.8925,5.9126,0.0008,0,0
AUDCNY.FX,澳元兑人民币,2006-03-10,5.9087,5.932,5.8765,5.891,-0.0037,0,0
AUDCNY.FX,澳元兑人民币,2006-03-13,5.8974,5.9232,5.8789,5.9167,0.0044,0,0
AUDCNY.FX,澳元兑人民币,2006-03-14,5.9221,5.9357,5.8925,5.9341,0.0029,0,0
AUDCNY.FX,澳元兑人民币,2006-03-15,5.9309,5.9586,5.9233,5.9409,0.0011,0,0
AUDCNY.FX,澳元兑人民币,2006-03-16,5.9394,5.9457,5.8964,5.9316,-0.0016,0,0
AUDCNY.FX,澳元兑人民币,2006-03-17,5.9285,5.938,5.831,5.8444,-0.0147,0,0
AUDCNY.FX,澳元兑人民币,2006-03-20,5.8494,5.854,5.7624,5.7847,-0.0102,0,0
AUDCNY.FX,澳元兑人民币,2006-03-21,5.7825,5.7967,5.7354,5.7512,-0.0058,0,0
AUDCNY.FX,澳元兑人民币,2006-03-22,5.7474,5.7876,5.7396,5.7731,0.0038,0,0
AUDCNY.FX,澳元兑人民币,2006-03-23,5.7677,5.7923,5.7233,5.7359,-0.0064,0,0
AUDCNY.FX,澳元兑人民币,2006-03-24,5.7354,5.7424,5.6665,5.6984,-0.0065,0,0
AUDCNY.FX,澳元兑人民币,2006-03-27,5.6914,5.6984,5.642,5.6583,-0.007,0,0
AUDCNY.FX,澳元兑人民币,2006-03-28,5.6577,5.7135,5.6444,5.6522,-0.0011,0,0
AUDCNY.FX,澳元兑人民币,2006-03-29,5.654,5.6836,5.6275,5.6796,0.0048,0,0
AUDCNY.FX,澳元兑人民币,2006-03-30,5.6661,5.7466,5.6629,5.7361,0.0099,0,0
AUDCNY.FX,澳元兑人民币,2006-03-31,5.7343,5.7545,5.6966,5.7425,0.0011,0,0
AUDCNY.FX,澳元兑人民币,2006-04-03,5.7367,5.7643,5.7133,5.7402,-0.0004,0,0
AUDCNY.FX,澳元兑人民币,2006-04-04,5.738,5.7919,5.7014,5.7751,0.0061,0,0
AUDCNY.FX,澳元兑人民币,2006-04-05,5.7761,5.8428,5.7689,5.8332,0.0101,0,0
AUDCNY.FX,澳元兑人民币,2006-04-06,5.827,5.8726,5.8126,5.8534,0.0035,0,0
AUDCNY.FX,澳元兑人民币,2006-04-07,5.844,5.8831,5.8092,5.815,-0.0066,0,0
AUDCNY.FX,澳元兑人民币,2006-04-10,5.8156,5.8491,5.8092,5.8491,0.0059,0,0
AUDCNY.FX,澳元兑人民币,2006-04-11,5.8448,5.8821,5.8144,5.8781,0.005,0,0
AUDCNY.FX,澳元兑人民币,2006-04-12,5.871,5.885,5.8389,5.8643,-0.0023,0,0
AUDCNY.FX,澳元兑人民币,2006-04-13,5.8637,5.8803,5.7996,5.837,-0.0047,0,0
AUDCNY.FX,澳元兑人民币,2006-04-14,5.8332,5.846,5.8252,5.8348,-0.0004,0,0
AUDCNY.FX,澳元兑人民币,2006-04-17,5.831,5.9252,5.8262,5.9115,0.0131,0,0
AUDCNY.FX,澳元兑人民币,2006-04-18,5.912,5.9606,5.9056,5.9582,0.0079,0,0
AUDCNY.FX,澳元兑人民币,2006-04-19,5.9536,5.9973,5.9373,5.9845,0.0044,0,0
AUDCNY.FX,澳元兑人民币,2006-04-20,5.9842,5.9881,5.8921,5.9144,-0.0117,0,0
AUDCNY.FX,澳元兑人民币,2006-04-21,5.9033,5.9838,5.8969,5.9454,0.0052,0,0
AUDCNY.FX,澳元兑人民币,2006-04-24,5.9868,6,5.9457,5.9655,0.0034,0,0
AUDCNY.FX,澳元兑人民币,2006-04-25,5.9577,5.995,5.9553,5.9766,0.0019,0,0
AUDCNY.FX,澳元兑人民币,2006-04-26,5.9727,6.0518,5.9576,6.035,0.0098,0,0
AUDCNY.FX,澳元兑人民币,2006-04-27,6.0315,6.079,6.0041,6.067,0.0053,0,0
AUDCNY.FX,澳元兑人民币,2006-04-28,6.0643,6.0962,6.032,6.0721,0.0008,0,0
AUDCNY.FX,澳元兑人民币,2006-05-01,6.0782,6.1222,6.0654,6.0878,0.0026,0,0
AUDCNY.FX,澳元兑人民币,2006-05-02,6.0614,6.1214,6.0478,6.107,0.0032,0,0
AUDCNY.FX,澳元兑人民币,2006-05-03,6.0935,6.1871,6.0871,6.1775,0.0115,0,0
AUDCNY.FX,澳元兑人民币,2006-05-04,6.1704,6.1947,6.1287,6.1787,0.0002,0,0
AUDCNY.FX,澳元兑人民币,2006-05-05,6.1872,6.2067,6.1479,6.1859,0.0012,0,0
AUDCNY.FX,澳元兑人民币,2006-05-08,6.1896,6.2027,6.1468,6.1554,-0.0049,0,0
AUDCNY.FX,澳元兑人民币,2006-05-09,6.1516,6.1996,6.1083,6.1956,0.0065,0,0
AUDCNY.FX,澳元兑人民币,2006-05-10,6.1917,6.2191,6.1676,6.1975,0.0003,0,0
AUDCNY.FX,澳元兑人民币,2006-05-11,6.1938,6.2387,6.1449,6.2083,0.0017,0,0
AUDCNY.FX,澳元兑人民币,2006-05-12,6.2051,6.2382,6.1611,6.1846,-0.0038,0,0
AUDCNY.FX,澳元兑人民币,2006-05-15,6.1987,6.205,6.0786,6.0969,-0.0142,0,0
AUDCNY.FX,澳元兑人民币,2006-05-16,6.0882,6.1579,6.0818,6.1411,0.0072,0,0
AUDCNY.FX,澳元兑人民币,2006-05-17,6.1316,6.1827,6.0581,6.062,-0.0129,0,0
AUDCNY.FX,澳元兑人民币,2006-05-18,6.0605,6.1492,6.0565,6.1243,0.0103,0,0
AUDCNY.FX,澳元兑人民币,2006-05-19,6.1236,6.1327,6.0316,6.0816,-0.007,0,0
AUDCNY.FX,澳元兑人民币,2006-05-22,6.0636,6.0699,5.9906,6.056,-0.0042,0,0
AUDCNY.FX,澳元兑人民币,2006-05-23,6.0449,6.0916,6.0099,6.0347,-0.0035,0,0
AUDCNY.FX,澳元兑人民币,2006-05-24,6.0203,6.0659,6.0043,6.0307,-0.0007,0,0
AUDCNY.FX,澳元兑人民币,2006-05-25,6.0364,6.1082,6.0173,6.105,0.0123,0,0
AUDCNY.FX,澳元兑人民币,2006-05-26,6.1083,6.115,6.0626,6.0805,-0.004,0,0
AUDCNY.FX,澳元兑人民币,2006-05-29,6.0803,6.0952,6.0706,6.0847,0.0007,0,0
AUDCNY.FX,澳元兑人民币,2006-05-30,6.0832,6.1436,6.0664,6.122,0.0061,0,0
AUDCNY.FX,澳元兑人民币,2006-05-31,6.1148,6.1438,6.0233,6.0373,-0.0138,0,0
AUDCNY.FX,澳元兑人民币,2006-06-01,6.029,6.0429,5.9641,5.99,-0.0078,0,0
AUDCNY.FX,澳元兑人民币,2006-06-02,5.9825,6.0365,5.9704,6.0309,0.0068,0,0
AUDCNY.FX,澳元兑人民币,2006-06-05,6.0202,6.0463,5.9787,5.991,-0.0066,0,0
AUDCNY.FX,澳元兑人民币,2006-06-06,5.9883,5.9955,5.9233,5.9353,-0.0093,0,0
AUDCNY.FX,澳元兑人民币,2006-06-07,5.9353,5.9594,5.9254,5.9394,0.0007,0,0
AUDCNY.FX,澳元兑人民币,2006-06-08,5.9399,5.9919,5.9334,5.9501,0.0018,0,0
AUDCNY.FX,澳元兑人民币,2006-06-09,5.9535,6.0116,5.9407,5.9948,0.0075,0,0
AUDCNY.FX,澳元兑人民币,2006-06-12,5.9949,6.0126,5.9736,5.9811,-0.0023,0,0
AUDCNY.FX,澳元兑人民币,2006-06-13,5.968,5.9784,5.9071,5.919,-0.0104,0,0
AUDCNY.FX,澳元兑人民币,2006-06-14,5.9175,5.9315,5.8733,5.8952,-0.004,0,0
AUDCNY.FX,澳元兑人民币,2006-06-15,5.8949,5.9443,5.888,5.9411,0.0078,0,0
AUDCNY.FX,澳元兑人民币,2006-06-16,5.9352,5.9565,5.8954,5.9111,-0.005,0,0
AUDCNY.FX,澳元兑人民币,2006-06-19,5.8986,5.9165,5.889,5.8981,-0.0022,0,0
