指标名称,澳大利亚:国债收益率:10年
频率,日
单位,%
指标ID,G0006860
来源,澳大利亚储备银行
1993-10-01,6.81
1993-10-05,6.85
1993-10-06,6.83
1993-10-07,6.74
1993-10-08,6.71
1993-10-11,6.61
1993-10-12,6.62
1993-10-13,6.61
1993-10-14,6.62
1993-10-15,6.57
1993-10-18,6.54
1993-10-19,6.59
1993-10-20,6.5
1993-10-21,6.5
1993-10-22,6.52
1993-10-25,6.57
1993-10-26,6.54
1993-10-27,6.46
1993-10-28,6.5
1993-10-29,6.49
1993-11-01,6.42
1993-11-02,6.5
1993-11-03,6.55
1993-11-04,6.59
1993-11-05,6.6
1993-11-08,6.65
1993-11-09,6.58
1993-11-10,6.53
1993-11-11,6.65
1993-11-12,6.66
1993-11-15,6.7
1993-11-16,6.63
1993-11-17,6.6
1993-11-18,6.61
1993-11-19,6.77
1993-11-22,6.86
1993-11-23,6.87
1993-11-24,6.8
1993-11-25,6.81
1993-11-26,6.75
1993-11-29,6.75
1993-11-30,6.81
1993-12-01,6.9
1993-12-02,6.85
1993-12-03,6.88
1993-12-06,6.76
1993-12-07,6.71
1993-12-08,6.71
1993-12-09,6.75
1993-12-10,6.73
1993-12-13,6.76
1993-12-14,6.72
1993-12-15,6.81
1993-12-16,6.78
1993-12-17,6.76
1993-12-20,6.66
1993-12-21,6.63
1993-12-22,6.64
1993-12-23,6.6
1993-12-24,6.63
1993-12-29,6.63
1993-12-30,6.65
1993-12-31,6.68
1994-01-04,6.79
1994-01-05,6.68
1994-01-06,6.69
1994-01-07,6.72
1994-01-10,6.61
1994-01-11,6.6
1994-01-12,6.55
1994-01-13,6.56
1994-01-14,6.56
1994-01-17,6.57
1994-01-18,6.54
1994-01-19,6.5
1994-01-20,6.54
1994-01-21,6.51
1994-01-24,6.51
1994-01-25,6.38
1994-01-27,6.42
1994-01-28,6.42
1994-01-31,6.36
1994-02-01,6.4
1994-02-02,6.44
1994-02-03,6.47
1994-02-04,6.49
1994-02-07,6.6
1994-02-08,6.58
1994-02-09,6.55
1994-02-10,6.49
1994-02-11,6.52
1994-02-14,6.48
1994-02-15,6.54
1994-02-16,6.53
1994-02-17,6.65
1994-02-18,6.87
1994-02-21,6.94
1994-02-22,6.89
1994-02-23,6.89
1994-02-24,7.05
1994-02-25,7.17
1994-02-28,7.05
1994-03-01,7.15
1994-03-02,7.26
1994-03-03,7.13
1994-03-04,7.41
1994-03-07,7.28
1994-03-08,7.19
1994-03-09,7.39
1994-03-10,7.48
1994-03-11,7.42
1994-03-14,7.31
1994-03-15,7.5
1994-03-16,7.31
1994-03-17,7.39
1994-03-18,7.44
1994-03-21,7.62
1994-03-22,7.59
1994-03-23,7.41
1994-03-24,7.6
1994-03-25,7.67
1994-03-28,7.9
1994-03-29,7.87
1994-03-30,7.9
1994-03-31,7.95
1994-04-05,8.23
1994-04-06,8.06
1994-04-07,8.06
1994-04-08,8.06
1994-04-11,8.14
1994-04-12,8.09
1994-04-13,7.98
1994-04-14,8.13
1994-04-15,8.23
1994-04-18,8.1
1994-04-19,8.47
1994-04-20,8.51
1994-04-21,8.3
1994-04-22,8.22
1994-04-26,8.15
1994-04-27,8.18
1994-04-28,8.19
1994-04-29,8.44
1994-05-02,8.53
1994-05-03,8.49
1994-05-04,8.78
1994-05-05,8.79
1994-05-06,8.81
1994-05-09,8.94
1994-05-10,8.73
1994-05-11,8.78
1994-05-12,8.91
1994-05-13,8.84
1994-05-16,8.63
1994-05-17,8.71
1994-05-18,8.4
1994-05-19,8.46
1994-05-20,8.42
1994-05-23,8.56
1994-05-24,8.7
1994-05-25,8.77
1994-05-26,8.63
1994-05-27,8.74
1994-05-30,8.66
1994-05-31,8.79
1994-06-01,8.88
1994-06-02,8.84
1994-06-03,8.77
1994-06-06,8.56
1994-06-07,8.64
1994-06-08,8.64
1994-06-09,8.85
1994-06-10,8.75
1994-06-14,8.94
1994-06-15,8.84
1994-06-16,9.14
1994-06-17,9.23
1994-06-20,9.61
1994-06-21,9.81
1994-06-22,9.75
1994-06-23,9.6
1994-06-24,9.61
1994-06-27,9.97
1994-06-28,9.77
1994-06-29,9.65
1994-06-30,9.63
1994-07-01,9.64
1994-07-04,9.71
1994-07-05,9.7
1994-07-06,9.6
1994-07-07,9.58
1994-07-08,9.57
1994-07-11,9.73
1994-07-12,9.68
1994-07-13,9.63
1994-07-14,9.6
1994-07-15,9.39
1994-07-18,9.33
1994-07-19,9.39
1994-07-20,9.42
1994-07-21,9.6
1994-07-22,9.54
1994-07-25,9.59
1994-07-26,9.53
1994-07-27,9.41
1994-07-28,9.62
1994-07-29,9.57
1994-08-01,9.43
1994-08-02,9.39
1994-08-03,9.52
1994-08-04,9.22
1994-08-05,9.31
1994-08-08,9.5
1994-08-09,9.39
1994-08-10,9.41
1994-08-11,9.48
1994-08-12,9.55
1994-08-15,9.49
1994-08-16,9.52
1994-08-17,9.21
1994-08-18,9.26
1994-08-19,9.37
1994-08-22,9.31
1994-08-23,9.38
1994-08-24,9.34
1994-08-25,9.28
1994-08-26,9.37
1994-08-29,9.31
1994-08-30,9.35
1994-08-31,9.36
1994-09-01,9.42
1994-09-02,9.43
1994-09-05,9.52
1994-09-06,9.5
1994-09-07,9.63
1994-09-08,9.68
1994-09-09,9.66
1994-09-12,10.11
1994-09-13,10.07
1994-09-14,10.21
1994-09-15,10.11
1994-09-16,9.92
1994-09-19,10.08
1994-09-20,10.16
1994-09-21,10.11
1994-09-22,10.13
1994-09-23,10.14
1994-09-26,10.22
1994-09-27,10.19
1994-09-28,10.3
1994-09-29,10.24
1994-09-30,10.33
1994-10-03,10.25
1994-10-04,10.3
1994-10-05,10.25
1994-10-06,10.15
1994-10-07,10.19
1994-10-10,10.08
1994-10-11,10.1
1994-10-12,10.2
1994-10-13,10.34
1994-10-14,10.2
1994-10-17,10.19
1994-10-18,10.18
1994-10-19,10.19
1994-10-20,10.11
1994-10-21,10.16
1994-10-24,10.14
1994-10-25,10.26
1994-10-26,10.43
1994-10-27,10.43
1994-10-28,10.45
1994-10-31,10.51
1994-11-01,10.55
1994-11-02,10.57
1994-11-03,10.55
1994-11-04,10.56
1994-11-07,10.69
1994-11-08,10.71
1994-11-09,10.68
1994-11-10,10.57
1994-11-11,10.63
1994-11-14,10.59
1994-11-15,10.51
1994-11-16,10.62
1994-11-17,10.68
1994-11-18,10.67
1994-11-21,10.72
1994-11-22,10.67
1994-11-23,10.43
1994-11-24,10.4
1994-11-25,10.33
1994-11-28,10.37
1994-11-29,10.34
1994-11-30,10.47
1994-12-01,10.36
1994-12-02,10.41
1994-12-05,10.07
1994-12-06,10.16
1994-12-07,10.33
1994-12-08,10.31
1994-12-09,10.23
1994-12-12,10.2
1994-12-13,10.4
1994-12-14,10.3
1994-12-15,10.16
1994-12-16,10.22
1994-12-19,10.21
1994-12-20,10.13
1994-12-21,10.11
1994-12-22,10.18
1994-12-23,10.19
1994-12-28,9.98
1994-12-29,9.99
1994-12-30,10.04
1995-01-03,10.06
1995-01-04,10.18
1995-01-05,10.32
1995-01-06,10.36
1995-01-09,10.43
1995-01-10,10.42
1995-01-11,10.37
1995-01-12,10.3
1995-01-13,10.41
1995-01-16,10.29
1995-01-17,10.28
1995-01-18,10.28
1995-01-19,10.33
1995-01-20,10.41
1995-01-23,10.56
1995-01-24,10.5
1995-01-25,10.38
1995-01-27,10.23
1995-01-30,10.18
1995-01-31,10.4
1995-02-01,10.2
1995-02-02,10.22
1995-02-03,10.16
1995-02-06,10.02
1995-02-07,10.17
1995-02-08,10.13
1995-02-09,10.14
1995-02-10,10.15
1995-02-13,10.23
1995-02-14,10.27
1995-02-15,10.15
1995-02-16,10.12
1995-02-17,10.19
1995-02-20,10.21
1995-02-21,10.14
1995-02-22,10.2
1995-02-23,10.17
1995-02-24,10.15
1995-02-27,10.06
1995-02-28,9.85
1995-03-01,9.9
1995-03-02,9.95
1995-03-03,10.08
1995-03-06,10.36
1995-03-07,10.31
1995-03-08,10.36
1995-03-09,10.23
1995-03-10,10.25
1995-03-13,10.12
1995-03-14,10.08
1995-03-15,9.94
1995-03-16,10.0
1995-03-17,10.17
1995-03-20,10.22
1995-03-21,10.18
1995-03-22,10.3
1995-03-23,10.23
1995-03-24,10.2
1995-03-27,10.07
1995-03-28,10.07
1995-03-29,10.19
1995-03-30,10.13
1995-03-31,9.83
1995-04-03,9.9
1995-04-04,9.8
1995-04-05,9.84
1995-04-06,9.79
1995-04-07,9.83
1995-04-10,9.9
1995-04-11,9.8
1995-04-12,9.78
1995-04-13,9.77
1995-04-18,9.69
1995-04-19,9.79
1995-04-20,9.76
1995-04-21,9.85
1995-04-24,9.86
1995-04-26,9.84
1995-04-27,9.69
1995-04-28,9.69
1995-05-01,9.69
1995-05-02,9.7
1995-05-03,9.68
1995-05-04,9.47
1995-05-05,9.38
1995-05-08,9.1
1995-05-09,9.05
1995-05-10,9.02
1995-05-11,9.05
1995-05-12,9.1
1995-05-15,9.01
1995-05-16,9.01
1995-05-17,8.86
1995-05-18,8.99
1995-05-19,9.09
1995-05-22,9.1
1995-05-23,9.06
1995-05-24,8.94
1995-05-25,8.74
1995-05-26,8.81
1995-05-29,8.82
1995-05-30,8.83
1995-05-31,8.94
1995-06-01,9.04
1995-06-02,9.0
1995-06-05,8.61
1995-06-06,8.63
1995-06-07,8.71
1995-06-08,8.89
1995-06-09,8.94
1995-06-13,8.94
1995-06-14,8.83
1995-06-15,8.88
1995-06-16,8.94
1995-06-19,8.95
1995-06-20,8.91
1995-06-21,8.78
1995-06-22,8.76
1995-06-23,8.67
1995-06-26,8.78
1995-06-27,8.8
1995-06-28,8.86
1995-06-29,8.85
1995-06-30,9.21
1995-07-03,9.18
1995-07-04,9.13
1995-07-05,9.07
1995-07-06,9.05
1995-07-07,8.74
1995-07-10,8.75
1995-07-11,8.8
1995-07-12,8.81
1995-07-13,8.8
1995-07-14,8.79
1995-07-17,8.97
1995-07-18,9.07
1995-07-19,9.17
1995-07-20,9.31
1995-07-21,9.18
1995-07-24,9.28
1995-07-25,9.19
1995-07-26,9.3
1995-07-27,9.4
1995-07-28,9.31
1995-07-31,9.42
1995-08-01,9.29
1995-08-02,9.22
1995-08-03,9.23
1995-08-04,9.35
1995-08-07,9.22
1995-08-08,9.14
1995-08-09,9.19
1995-08-10,9.05
1995-08-11,8.97
1995-08-14,9.02
1995-08-15,9.06
1995-08-16,9.05
1995-08-17,9.07
1995-08-18,9.06
1995-08-21,9.03
1995-08-22,9.08
1995-08-23,9.14
1995-08-24,9.25
1995-08-25,9.17
1995-08-28,9.17
1995-08-29,9.12
1995-08-30,9.0
1995-08-31,8.98
1995-09-01,8.89
1995-09-04,8.85
1995-09-05,8.84
1995-09-06,8.73
1995-09-07,8.81
1995-09-08,8.73
1995-09-11,8.76
1995-09-12,8.77
1995-09-13,8.58
1995-09-14,8.6
1995-09-15,8.53
1995-09-18,8.56
1995-09-19,8.63
1995-09-20,8.62
1995-09-21,8.6
1995-09-22,8.68
1995-09-25,8.72
1995-09-26,8.68
1995-09-27,8.64
1995-09-28,8.62
1995-09-29,8.57
1995-10-02,8.5
1995-10-03,8.56
1995-10-04,8.55
1995-10-05,8.51
1995-10-06,8.5
1995-10-09,8.48
1995-10-10,8.53
1995-10-11,8.58
1995-10-12,8.55
1995-10-13,8.43
1995-10-16,8.32
1995-10-17,8.28
1995-10-18,8.33
1995-10-19,8.37
1995-10-20,8.4
1995-10-23,8.52
1995-10-24,8.52
1995-10-25,8.66
1995-10-26,8.5
1995-10-27,8.64
1995-10-30,8.68
1995-10-31,8.78
1995-11-01,8.74
1995-11-02,8.68
1995-11-03,8.58
1995-11-06,8.67
1995-11-07,8.73
1995-11-08,8.65
1995-11-09,8.55
1995-11-10,8.59
1995-11-13,8.67
1995-11-14,8.6
1995-11-15,8.6
1995-11-16,8.54
1995-11-17,8.48
1995-11-20,8.41
1995-11-21,8.41
1995-11-22,8.41
1995-11-23,8.36
1995-11-24,8.33
1995-11-27,8.21
1995-11-28,8.28
1995-11-29,8.23
1995-11-30,8.17
1995-12-01,8.13
1995-12-04,8.09
1995-12-05,8.15
1995-12-06,8.16
1995-12-07,8.2
1995-12-08,8.27
1995-12-11,8.3
1995-12-12,8.31
1995-12-13,8.29
1995-12-14,8.21
1995-12-15,8.34
1995-12-18,8.41
1995-12-19,8.45
1995-12-20,8.3
1995-12-21,8.33
1995-12-22,8.28
1995-12-27,8.22
1995-12-28,8.22
1995-12-29,8.18
1996-01-02,8.09
1996-01-03,8.04
1996-01-04,8.06
1996-01-05,8.12
1996-01-08,8.09
1996-01-09,8.07
1996-01-10,8.1
1996-01-11,8.31
1996-01-12,8.24
1996-01-15,8.27
1996-01-16,8.2
1996-01-17,8.11
1996-01-18,8.14
1996-01-19,8.06
1996-01-22,8.08
1996-01-23,8.12
1996-01-24,8.08
1996-01-25,7.97
1996-01-29,8.07
1996-01-30,8.13
1996-01-31,8.01
1996-02-01,7.97
1996-02-02,8.01
1996-02-05,8.11
1996-02-06,8.1
1996-02-07,8.04
1996-02-08,8.03
1996-02-09,8.0
1996-02-12,8.04
1996-02-13,7.94
1996-02-14,7.99
1996-02-15,8.03
1996-02-16,8.09
1996-02-19,8.27
1996-02-20,8.29
1996-02-21,8.71
1996-02-22,8.53
1996-02-23,8.5
1996-02-26,8.6
1996-02-27,8.66
1996-02-28,8.72
1996-02-29,8.59
1996-03-01,8.53
1996-03-04,8.32
1996-03-05,8.39
1996-03-06,8.47
1996-03-07,8.69
1996-03-08,8.65
1996-03-11,9.13
1996-03-12,8.87
1996-03-13,8.85
1996-03-14,8.85
1996-03-15,8.95
1996-03-18,9.03
1996-03-19,8.91
1996-03-20,9.04
1996-03-21,8.91
1996-03-22,8.97
1996-03-25,8.93
1996-03-26,8.85
1996-03-27,8.84
1996-03-28,8.91
1996-03-29,8.88
1996-04-01,8.81
1996-04-02,8.74
1996-04-03,8.8
1996-04-04,8.77
1996-04-09,8.99
1996-04-10,9.0
1996-04-11,9.06
1996-04-12,9.03
1996-04-15,8.95
1996-04-16,9.0
1996-04-17,9.03
1996-04-18,9.02
1996-04-19,8.95
1996-04-22,8.87
1996-04-23,8.75
1996-04-24,8.71
1996-04-26,8.7
1996-04-29,8.7
1996-04-30,8.72
1996-05-01,8.77
1996-05-02,8.74
1996-05-03,8.95
1996-05-06,8.98
1996-05-07,8.95
1996-05-08,9.01
1996-05-09,8.9
1996-05-10,8.9
1996-05-13,8.8
1996-05-14,8.71
1996-05-15,8.71
1996-05-16,8.78
1996-05-17,8.81
1996-05-20,8.74
1996-05-21,8.76
1996-05-22,8.75
1996-05-23,8.74
1996-05-24,8.83
1996-05-27,8.83
1996-05-28,8.81
1996-05-29,8.92
1996-05-30,8.9
1996-05-31,8.85
1996-06-03,8.96
1996-06-04,8.92
1996-06-05,8.94
1996-06-06,8.89
1996-06-07,8.81
1996-06-11,9.01
1996-06-12,9.03
1996-06-13,9.06
1996-06-14,8.94
1996-06-17,8.9
1996-06-18,8.9
1996-06-19,8.92
1996-06-20,8.95
1996-06-21,8.96
1996-06-24,8.93
1996-06-25,8.9
1996-06-26,8.9
1996-06-27,8.9
1996-06-28,8.88
1996-07-01,8.79
1996-07-02,8.79
1996-07-03,8.79
1996-07-04,8.72
1996-07-05,8.7
1996-07-08,8.85
1996-07-09,8.84
1996-07-10,8.77
1996-07-11,8.76
1996-07-12,8.74
1996-07-15,8.65
1996-07-16,8.67
1996-07-17,8.56
1996-07-18,8.54
1996-07-19,8.51
1996-07-22,8.54
1996-07-23,8.47
1996-07-24,8.53
1996-07-25,8.53
1996-07-26,8.47
1996-07-29,8.48
1996-07-30,8.48
1996-07-31,8.3
1996-08-01,8.21
1996-08-02,8.13
1996-08-05,8.05
1996-08-06,8.09
1996-08-07,8.07
1996-08-08,8.08
1996-08-09,8.13
1996-08-12,8.05
1996-08-13,8.06
1996-08-14,8.11
1996-08-15,8.08
1996-08-16,8.07
1996-08-19,7.91
1996-08-20,7.91
1996-08-21,7.8
1996-08-22,7.87
1996-08-23,7.85
1996-08-26,8.06
1996-08-27,8.16
1996-08-28,8.08
1996-08-29,8.04
1996-08-30,8.07
1996-09-02,8.09
1996-09-03,8.27
1996-09-04,8.16
1996-09-05,8.21
1996-09-06,8.2
1996-09-09,8.11
1996-09-10,8.07
1996-09-11,8.12
1996-09-12,8.08
1996-09-13,8.08
1996-09-16,7.99
1996-09-17,7.89
1996-09-18,7.93
1996-09-19,7.91
1996-09-20,7.95
1996-09-23,7.93
1996-09-24,7.9
1996-09-25,7.83
1996-09-26,7.79
1996-09-27,7.77
1996-09-30,7.79
1996-10-01,7.78
1996-10-02,7.7
1996-10-03,7.63
1996-10-04,7.59
1996-10-07,7.53
1996-10-08,7.61
1996-10-09,7.64
1996-10-10,7.56
1996-10-11,7.59
1996-10-14,7.52
1996-10-15,7.57
1996-10-16,7.71
1996-10-17,7.66
1996-10-18,7.58
1996-10-21,7.52
1996-10-22,7.51
1996-10-23,7.52
1996-10-24,7.37
1996-10-25,7.43
1996-10-28,7.39
1996-10-29,7.49
1996-10-30,7.38
1996-10-31,7.38
1996-11-01,7.39
1996-11-04,7.34
1996-11-05,7.26
1996-11-06,7.17
1996-11-07,7.29
1996-11-08,7.21
1996-11-11,7.19
1996-11-12,7.15
1996-11-13,7.07
1996-11-14,7.11
1996-11-15,7.06
1996-11-18,7.15
1996-11-19,7.1
1996-11-20,7.08
1996-11-21,7.09
1996-11-22,7.04
1996-11-25,7.08
1996-11-26,7.09
1996-11-27,7.12
1996-11-28,7.13
1996-11-29,7.17
1996-12-02,7.05
1996-12-03,7.01
1996-12-04,7.09
1996-12-05,7.15
1996-12-06,7.47
1996-12-09,7.36
1996-12-10,7.35
1996-12-11,7.17
1996-12-12,7.37
1996-12-13,7.41
1996-12-16,7.31
1996-12-17,7.47
1996-12-18,7.43
1996-12-19,7.47
1996-12-20,7.36
1996-12-23,7.43
1996-12-24,7.42
1996-12-27,7.42
1996-12-30,7.37
1996-12-31,7.37
1997-01-02,7.46
1997-01-03,7.66
1997-01-06,7.59
1997-01-07,7.58
1997-01-08,7.54
1997-01-09,7.51
1997-01-10,7.49
1997-01-13,7.56
1997-01-14,7.53
1997-01-15,7.41
1997-01-16,7.43
1997-01-17,7.42
1997-01-20,7.32
1997-01-21,7.44
1997-01-22,7.31
1997-01-23,7.32
1997-01-24,7.36
1997-01-28,7.44
1997-01-29,7.47
1997-01-30,7.39
1997-01-31,7.41
1997-02-03,7.37
1997-02-04,7.3
1997-02-05,7.26
1997-02-06,7.37
1997-02-07,7.36
1997-02-10,7.35
1997-02-11,7.33
1997-02-12,7.31
1997-02-13,7.36
1997-02-14,7.29
1997-02-17,7.25
1997-02-18,7.25
1997-02-19,7.29
1997-02-20,7.42
1997-02-21,7.48
1997-02-24,7.49
1997-02-25,7.51
1997-02-26,7.56
1997-02-27,7.65
1997-02-28,7.68
1997-03-03,7.81
1997-03-04,7.87
1997-03-05,7.8
1997-03-06,7.77
1997-03-07,7.93
1997-03-10,7.78
1997-03-11,7.76
1997-03-12,7.81
1997-03-13,7.79
1997-03-14,7.94
1997-03-17,7.87
1997-03-18,7.95
1997-03-19,7.94
1997-03-20,8.05
1997-03-21,8.02
1997-03-24,8.02
1997-03-25,7.96
1997-03-26,8.02
1997-03-27,8.0
1997-04-01,8.14
1997-04-02,8.12
1997-04-03,8.08
1997-04-04,8.03
1997-04-07,7.97
1997-04-08,7.94
1997-04-09,7.96
1997-04-10,7.93
1997-04-11,7.94
1997-04-14,8.01
1997-04-15,7.92
1997-04-16,7.8
1997-04-17,7.77
1997-04-18,7.8
1997-04-21,7.85
1997-04-22,7.79
1997-04-23,7.8
1997-04-24,7.85
1997-04-28,7.95
1997-04-29,7.92
1997-04-30,7.83
1997-05-01,7.92
1997-05-02,7.84
1997-05-05,7.73
1997-05-06,7.7
1997-05-07,7.78
1997-05-08,7.78
1997-05-09,7.63
1997-05-12,7.63
1997-05-13,7.61
1997-05-14,7.75
1997-05-15,7.66
1997-05-16,7.57
1997-05-19,7.69
1997-05-20,7.68
1997-05-21,7.7
1997-05-22,7.7
1997-05-23,7.58
1997-05-26,7.63
1997-05-27,7.56
1997-05-28,7.64
1997-05-29,7.58
1997-05-30,7.48
1997-06-02,7.42
1997-06-03,7.37
1997-06-04,7.37
1997-06-05,7.4
1997-06-06,7.35
1997-06-10,7.23
1997-06-11,7.26
1997-06-12,7.14
1997-06-13,7.05
1997-06-16,6.99
1997-06-17,7.03
1997-06-18,7.07
1997-06-19,7.03
1997-06-20,7.04
1997-06-23,6.98
1997-06-24,7.03
1997-06-25,7.03
1997-06-26,7.09
1997-06-27,7.09
1997-06-30,7.05
1997-07-01,6.97
1997-07-02,6.99
1997-07-03,6.91
1997-07-04,6.79
1997-07-07,6.81
1997-07-08,6.75
1997-07-09,6.7
1997-07-10,6.62
1997-07-11,6.67
1997-07-14,6.65
1997-07-15,6.71
1997-07-16,6.64
1997-07-17,6.54
1997-07-18,6.6
1997-07-21,6.56
1997-07-22,6.58
1997-07-23,6.48
1997-07-24,6.42
1997-07-25,6.49
1997-07-28,6.53
1997-07-29,6.52
1997-07-30,6.48
1997-07-31,6.37
1997-08-01,6.32
1997-08-04,6.46
1997-08-05,6.45
1997-08-06,6.51
1997-08-07,6.47
1997-08-08,6.59
1997-08-11,6.81
1997-08-12,6.8
1997-08-13,6.81
1997-08-14,6.66
1997-08-15,6.58
1997-08-18,6.64
1997-08-19,6.65
1997-08-20,6.67
1997-08-21,6.72
1997-08-22,6.82
1997-08-25,6.82
1997-08-26,6.83
1997-08-27,6.79
1997-08-28,6.71
1997-08-29,6.56
1997-09-01,6.53
1997-09-02,6.47
1997-09-03,6.51
1997-09-04,6.57
1997-09-05,6.48
1997-09-08,6.49
1997-09-09,6.5
1997-09-10,6.57
1997-09-11,6.42
1997-09-12,6.42
1997-09-15,6.3
1997-09-16,6.33
1997-09-17,6.12
1997-09-18,6.18
1997-09-19,6.17
1997-09-22,6.12
1997-09-23,6.09
1997-09-24,6.12
1997-09-25,6.07
1997-09-26,6.17
1997-09-29,6.09
1997-09-30,6.13
1997-10-01,6.13
1997-10-02,6.09
1997-10-03,6.06
1997-10-06,6.03
1997-10-07,6.13
1997-10-08,6.09
1997-10-09,6.3
1997-10-10,6.41
1997-10-13,6.48
1997-10-14,6.42
1997-10-15,6.31
1997-10-16,6.37
1997-10-17,6.27
1997-10-20,6.23
1997-10-21,6.27
1997-10-22,6.32
1997-10-23,6.31
1997-10-24,6.25
1997-10-27,6.02
1997-10-28,5.86
1997-10-29,5.98
1997-10-30,5.9
1997-10-31,5.96
1997-11-03,6.06
1997-11-04,6.08
1997-11-05,6.1
1997-11-06,6.09
1997-11-07,5.98
1997-11-10,6.03
1997-11-11,6.04
1997-11-12,6.05
1997-11-13,6.0
1997-11-14,5.96
1997-11-17,6.01
1997-11-18,5.99
1997-11-19,5.92
1997-11-20,5.92
1997-11-21,5.99
1997-11-24,5.97
1997-11-25,6.04
1997-11-26,6.05
1997-11-27,6.14
1997-11-28,6.2
1997-12-01,6.23
1997-12-02,6.26
1997-12-03,6.19
1997-12-04,6.15
1997-12-05,6.16
1997-12-08,6.22
1997-12-09,6.29
1997-12-10,6.35
1997-12-11,6.25
1997-12-12,6.21
1997-12-15,6.11
1997-12-16,6.1
1997-12-17,6.23
1997-12-18,6.23
1997-12-19,6.08
1997-12-22,6.04
1997-12-23,5.98
1997-12-24,5.94
1997-12-29,5.9
1997-12-30,5.95
1997-12-31,6.05
1998-01-02,5.99
1998-01-05,5.74
1998-01-06,5.67
1998-01-07,5.73
1998-01-08,5.76
1998-01-09,5.67
1998-01-12,5.56
1998-01-13,5.68
1998-01-14,5.74
1998-01-15,5.71
1998-01-16,5.82
1998-01-19,5.84
1998-01-20,5.85
1998-01-21,5.8
1998-01-22,5.78
1998-01-23,5.86
1998-01-27,5.98
1998-01-28,5.98
1998-01-29,6.06
1998-01-30,5.9
1998-02-02,5.94
1998-02-03,6.0
1998-02-04,5.93
1998-02-05,5.94
1998-02-06,5.99
1998-02-09,5.97
1998-02-10,5.96
1998-02-11,5.9
1998-02-12,5.87
1998-02-13,5.81
1998-02-16,5.83
1998-02-17,5.82
1998-02-18,5.78
1998-02-19,5.8
1998-02-20,5.83
1998-02-23,5.73
1998-02-24,5.83
1998-02-25,5.92
1998-02-26,5.91
1998-02-27,5.98
1998-03-02,6.02
1998-03-03,6.14
1998-03-04,6.06
1998-03-05,6.0
1998-03-06,6.08
1998-03-09,6.04
1998-03-10,5.95
1998-03-11,5.9
1998-03-12,5.88
1998-03-13,5.79
1998-03-16,5.76
1998-03-17,5.77
1998-03-18,5.73
1998-03-19,5.73
1998-03-20,5.74
1998-03-23,5.78
1998-03-24,5.78
1998-03-25,5.73
1998-03-26,5.78
1998-03-27,5.84
1998-03-30,5.78
1998-03-31,5.75
1998-04-01,5.71
1998-04-02,5.74
1998-04-03,5.63
1998-04-06,5.61
1998-04-07,5.54
1998-04-08,5.59
1998-04-09,5.6
1998-04-14,5.65
1998-04-15,5.62
1998-04-16,5.61
1998-04-17,5.63
1998-04-20,5.72
1998-04-21,5.74
1998-04-22,5.76
1998-04-23,5.68
1998-04-24,5.73
1998-04-27,5.66
1998-04-28,5.75
1998-04-29,5.84
1998-04-30,5.89
1998-05-01,5.75
1998-05-04,5.77
1998-05-05,5.76
1998-05-06,5.75
1998-05-07,5.72
1998-05-08,5.72
1998-05-11,5.67
1998-05-12,5.72
1998-05-13,5.66
1998-05-14,5.67
1998-05-15,5.69
1998-05-18,5.72
1998-05-19,5.65
1998-05-20,5.63
1998-05-21,5.58
1998-05-22,5.58
1998-05-25,5.58
1998-05-26,5.57
1998-05-27,5.43
1998-05-28,5.42
1998-05-29,5.38
1998-06-01,5.31
1998-06-02,5.38
1998-06-03,5.41
1998-06-04,5.43
1998-06-05,5.53
1998-06-09,5.64
1998-06-10,5.79
1998-06-11,5.65
1998-06-12,5.6
1998-06-15,5.62
1998-06-16,5.61
1998-06-17,5.58
1998-06-18,5.61
1998-06-19,5.67
1998-06-22,5.66
1998-06-23,5.67
1998-06-24,5.62
1998-06-25,5.57
1998-06-26,5.58
1998-06-29,5.59
1998-06-30,5.58
1998-07-01,5.49
1998-07-02,5.5
1998-07-03,5.5
1998-07-06,5.5
1998-07-07,5.45
1998-07-08,5.47
1998-07-09,5.52
1998-07-10,5.49
