指标名称,澳大利亚标准普尔200指数
频率,日
单位,点
指标ID,V8595283
来源,澳大利亚证券交易所
1992-05-29,1704.6
1992-06-01,1700.5
1992-06-02,1702.7
1992-06-03,1704.5
1992-06-04,1701.9
1992-06-05,1699.7
1992-06-09,1699.9
1992-06-10,1690.8
1992-06-11,1683.0
1992-06-12,1675.3
1992-06-15,1670.2
1992-06-16,1661.9
1992-06-17,1652.4
1992-06-18,1646.4
1992-06-19,1655.8
1992-06-22,1658.8
1992-06-23,1665.2
1992-06-24,1668.4
1992-06-25,1665.1
1992-06-26,1662.1
1992-06-29,1662.8
1992-06-30,1665.9
1992-07-01,1668.4
1992-07-02,1683.0
1992-07-03,1684.7
1992-07-06,1685.0
1992-07-07,1680.9
1992-07-08,1671.6
1992-07-09,1661.2
1992-07-10,1664.0
1992-07-13,1657.8
1992-07-14,1657.3
1992-07-15,1655.4
1992-07-16,1658.0
1992-07-17,1647.8
1992-07-20,1620.6
1992-07-21,1624.8
1992-07-22,1623.3
1992-07-23,1626.7
1992-07-24,1625.7
1992-07-27,1622.5
1992-07-28,1622.1
1992-07-29,1628.8
1992-07-30,1636.7
1992-07-31,1633.3
1992-08-03,1632.8
1992-08-04,1627.5
1992-08-05,1619.6
1992-08-06,1602.3
1992-08-07,1600.1
1992-08-10,1606.3
1992-08-11,1600.6
1992-08-12,1582.8
1992-08-13,1580.6
1992-08-14,1560.0
1992-08-17,1571.0
1992-08-18,1576.4
1992-08-19,1572.7
1992-08-20,1564.0
1992-08-21,1570.4
1992-08-24,1549.5
1992-08-25,1526.5
1992-08-26,1545.0
1992-08-27,1554.1
1992-08-28,1565.1
1992-08-31,1557.9
1992-09-01,1551.0
1992-09-02,1536.7
1992-09-03,1534.9
1992-09-04,1539.1
1992-09-07,1521.7
1992-09-08,1508.3
1992-09-09,1483.9
1992-09-10,1489.4
1992-09-11,1507.9
1992-09-14,1546.3
1992-09-15,1539.1
1992-09-16,1513.5
1992-09-17,1519.1
1992-09-18,1532.2
1992-09-21,1540.8
1992-09-22,1529.2
1992-09-23,1513.0
1992-09-24,1515.2
1992-09-25,1502.6
1992-09-28,1500.0
1992-09-29,1490.6
1992-09-30,1487.9
1992-10-01,1474.7
1992-10-02,1486.7
1992-10-05,1469.3
1992-10-06,1455.1
1992-10-07,1457.8
1992-10-08,1469.2
1992-10-09,1469.4
1992-10-12,1465.1
1992-10-13,1458.0
1992-10-14,1454.6
1992-10-15,1440.3
1992-10-16,1420.4
1992-10-19,1417.8
1992-10-20,1428.7
1992-10-21,1447.5
1992-10-22,1451.6
1992-10-23,1459.3
1992-10-26,1453.7
1992-10-27,1439.0
1992-10-28,1419.2
1992-10-29,1418.8
1992-10-30,1428.8
1992-11-02,1412.7
1992-11-03,1416.0
1992-11-04,1436.1
1992-11-05,1437.6
1992-11-06,1427.3
1992-11-09,1422.9
1992-11-10,1399.3
1992-11-11,1396.7
1992-11-12,1376.1
1992-11-13,1373.7
1992-11-16,1358.5
1992-11-17,1367.0
1992-11-18,1377.7
1992-11-19,1396.6
1992-11-20,1415.0
1992-11-23,1455.0
1992-11-24,1458.4
1992-11-25,1467.9
1992-11-26,1459.0
1992-11-27,1458.9
1992-11-30,1456.4
1992-12-01,1452.3
1992-12-02,1446.8
1992-12-03,1442.1
1992-12-04,1443.2
1992-12-07,1454.3
1992-12-08,1480.3
1992-12-09,1494.9
1992-12-10,1515.1
1992-12-11,1513.3
1992-12-14,1525.9
1992-12-15,1522.3
1992-12-16,1508.5
1992-12-17,1512.0
1992-12-18,1529.4
1992-12-21,1551.7
1992-12-22,1543.5
1992-12-23,1536.4
1992-12-24,1547.6
1992-12-29,1553.5
1992-12-30,1552.3
1992-12-31,1564.7
1993-01-04,1576.1
1993-01-05,1579.9
1993-01-06,1554.8
1993-01-07,1542.1
1993-01-08,1510.4
1993-01-11,1523.6
1993-01-12,1517.9
1993-01-13,1502.2
1993-01-14,1515.4
1993-01-15,1534.1
1993-01-18,1538.3
1993-01-19,1527.6
1993-01-20,1530.9
1993-01-21,1528.4
1993-01-22,1533.0
1993-01-25,1532.8
1993-01-26,1539.1
1993-01-27,1544.4
1993-01-28,1536.1
1993-01-29,1536.5
1993-02-01,1538.3
1993-02-02,1538.3
1993-02-03,1538.5
1993-02-04,1540.0
1993-02-05,1552.5
1993-02-08,1568.5
1993-02-09,1595.1
1993-02-10,1602.0
1993-02-11,1610.1
1993-02-12,1614.3
1993-02-15,1607.2
1993-02-16,1623.9
1993-02-17,1612.8
1993-02-18,1618.4
1993-02-19,1604.3
1993-02-22,1615.7
1993-02-23,1619.5
1993-02-24,1615.2
1993-02-25,1617.0
1993-02-26,1620.2
1993-03-01,1652.8
1993-03-02,1658.0
1993-03-03,1637.3
1993-03-04,1633.9
1993-03-05,1623.6
1993-03-08,1626.5
1993-03-09,1644.1
1993-03-10,1658.6
1993-03-11,1672.8
1993-03-12,1671.9
1993-03-15,1635.3
1993-03-16,1669.2
1993-03-17,1687.1
1993-03-18,1681.6
1993-03-19,1689.7
1993-03-22,1674.9
1993-03-23,1670.0
1993-03-24,1673.7
1993-03-25,1670.7
1993-03-26,1685.6
1993-03-29,1686.3
1993-03-30,1687.2
1993-03-31,1674.5
1993-04-01,1676.4
1993-04-02,1692.3
1993-04-05,1678.7
1993-04-06,1665.9
1993-04-07,1662.0
1993-04-08,1674.3
1993-04-13,1699.2
1993-04-14,1714.7
1993-04-15,1713.4
1993-04-16,1713.4
1993-04-19,1705.5
1993-04-20,1712.7
1993-04-21,1702.4
1993-04-22,1714.4
1993-04-23,1710.9
1993-04-26,1716.0
1993-04-27,1709.1
1993-04-28,1709.2
1993-04-29,1684.0
1993-04-30,1685.2
1993-05-03,1668.7
1993-05-04,1668.1
1993-05-05,1678.5
1993-05-06,1696.0
1993-05-07,1688.5
1993-05-10,1673.9
1993-05-11,1689.5
1993-05-12,1698.3
1993-05-13,1696.2
1993-05-14,1698.9
1993-05-17,1686.2
1993-05-18,1676.4
1993-05-19,1680.2
1993-05-20,1682.1
1993-05-21,1695.1
1993-05-24,1683.7
1993-05-25,1698.2
1993-05-26,1719.5
1993-05-27,1753.4
1993-05-28,1762.5
1993-05-31,1737.4
1993-06-01,1732.8
1993-06-02,1742.6
1993-06-03,1741.2
1993-06-04,1739.8
1993-06-07,1736.9
1993-06-08,1721.9
1993-06-09,1708.7
1993-06-10,1713.6
1993-06-11,1715.1
1993-06-15,1726.5
1993-06-16,1726.0
1993-06-17,1728.0
1993-06-18,1730.5
1993-06-21,1726.8
1993-06-22,1715.9
1993-06-23,1697.7
1993-06-24,1698.4
1993-06-25,1699.1
1993-06-28,1714.6
1993-06-29,1716.8
1993-06-30,1734.6
1993-07-01,1752.3
1993-07-02,1764.0
1993-07-05,1759.6
1993-07-06,1757.3
1993-07-07,1765.7
1993-07-08,1775.8
1993-07-09,1776.9
1993-07-12,1797.5
1993-07-13,1799.9
1993-07-14,1801.3
1993-07-15,1802.7
1993-07-16,1796.8
1993-07-19,1794.3
1993-07-20,1803.8
1993-07-21,1815.4
1993-07-22,1799.5
1993-07-23,1804.4
1993-07-26,1792.5
1993-07-27,1810.3
1993-07-28,1814.3
1993-07-29,1824.1
1993-07-30,1837.1
1993-08-02,1846.7
1993-08-03,1847.1
1993-08-04,1853.2
1993-08-05,1857.0
1993-08-06,1836.0
1993-08-09,1837.2
1993-08-10,1852.1
1993-08-11,1853.8
1993-08-12,1868.2
1993-08-13,1852.6
1993-08-16,1867.2
1993-08-17,1881.1
1993-08-18,1891.3
1993-08-19,1924.0
1993-08-20,1923.9
1993-08-23,1929.5
1993-08-24,1919.5
1993-08-25,1916.9
1993-08-26,1937.4
1993-08-27,1946.8
1993-08-30,1955.0
1993-08-31,1961.6
1993-09-01,1977.3
1993-09-02,1968.5
1993-09-03,1953.0
1993-09-06,1919.5
1993-09-07,1923.6
1993-09-08,1895.7
1993-09-09,1888.3
1993-09-10,1896.6
1993-09-13,1893.8
1993-09-14,1870.1
1993-09-15,1859.1
1993-09-16,1856.5
1993-09-17,1879.7
1993-09-20,1878.4
1993-09-21,1880.7
1993-09-22,1874.7
1993-09-23,1884.5
1993-09-24,1902.3
1993-09-27,1897.7
1993-09-28,1896.9
1993-09-29,1906.8
1993-09-30,1919.8
1993-10-01,1928.8
1993-10-04,1932.5
1993-10-05,1955.6
1993-10-06,1975.2
1993-10-07,1976.5
1993-10-08,1981.4
1993-10-11,1994.1
1993-10-12,1982.0
1993-10-13,1993.0
1993-10-14,2017.3
1993-10-15,2029.9
1993-10-18,2041.3
1993-10-19,2030.8
1993-10-20,2006.2
1993-10-21,2014.1
1993-10-22,2015.4
1993-10-25,2001.3
1993-10-26,2011.7
1993-10-27,2025.6
1993-10-28,2033.9
1993-10-29,2070.6
1993-11-01,2091.7
1993-11-02,2084.1
1993-11-03,2065.7
1993-11-04,2058.8
1993-11-05,2037.1
1993-11-08,2009.7
1993-11-09,2005.5
1993-11-10,1997.5
1993-11-11,2007.4
1993-11-12,2029.5
1993-11-15,2022.2
1993-11-16,2023.0
1993-11-17,2044.3
1993-11-18,2048.6
1993-11-19,2022.9
1993-11-22,1988.9
1993-11-23,1950.2
1993-11-24,1972.6
1993-11-25,1982.6
1993-11-26,1986.1
1993-11-29,1952.8
1993-11-30,1953.7
1993-12-01,1949.0
1993-12-02,1993.5
1993-12-03,1991.9
1993-12-06,1998.9
1993-12-07,2019.1
1993-12-08,2044.6
1993-12-09,2041.3
1993-12-10,2030.9
1993-12-13,2039.6
1993-12-14,2028.9
1993-12-15,2011.3
1993-12-16,2016.9
1993-12-17,2023.7
1993-12-20,2018.7
1993-12-21,2007.5
1993-12-22,1992.1
1993-12-23,2009.2
1993-12-24,2031.4
1993-12-29,2069.8
1993-12-30,2095.8
1993-12-31,2113.6
1994-01-04,2115.4
1994-01-05,2132.0
1994-01-06,2138.7
1994-01-07,2124.0
1994-01-10,2135.8
1994-01-11,2143.2
1994-01-12,2131.1
1994-01-13,2112.8
1994-01-14,2141.8
1994-01-17,2175.3
1994-01-18,2167.5
1994-01-19,2183.4
1994-01-20,2199.6
1994-01-21,2182.7
1994-01-24,2156.7
1994-01-25,2154.1
1994-01-27,2181.4
1994-01-28,2191.7
1994-01-31,2244.4
1994-02-01,2244.2
1994-02-02,2245.2
1994-02-03,2275.6
1994-02-04,2266.3
1994-02-07,2215.2
1994-02-08,2239.0
1994-02-09,2203.0
1994-02-10,2166.1
1994-02-11,2173.2
1994-02-14,2170.9
1994-02-15,2165.7
1994-02-16,2179.1
1994-02-17,2170.1
1994-02-18,2152.6
1994-02-21,2108.7
1994-02-22,2134.1
1994-02-23,2150.3
1994-02-24,2127.7
1994-02-25,2079.0
1994-02-28,2112.0
1994-03-01,2112.0
1994-03-02,2084.2
1994-03-03,2082.4
1994-03-04,2048.1
1994-03-07,2077.0
1994-03-08,2103.6
1994-03-09,2081.3
1994-03-10,2088.1
1994-03-11,2084.0
1994-03-14,2110.8
1994-03-15,2102.7
1994-03-16,2104.3
1994-03-17,2095.5
1994-03-18,2093.7
1994-03-21,2069.3
1994-03-22,2070.3
1994-03-23,2110.5
1994-03-24,2098.9
1994-03-25,2078.5
1994-03-28,2035.7
1994-03-29,2027.8
1994-03-30,2021.5
1994-03-31,1980.1
1994-04-05,1980.6
1994-04-06,2014.4
1994-04-07,2016.5
1994-04-08,2011.2
1994-04-11,2005.7
1994-04-12,2026.8
1994-04-13,2048.1
1994-04-14,2027.9
1994-04-15,2013.9
1994-04-18,2030.8
1994-04-19,1997.0
1994-04-20,1982.1
1994-04-21,1966.8
1994-04-22,1979.3
1994-04-26,2006.8
1994-04-27,1997.8
1994-04-28,2007.9
1994-04-29,2004.2
1994-05-02,1986.3
1994-05-03,1983.6
1994-05-04,1958.2
1994-05-05,1928.7
1994-05-06,1944.8
1994-05-09,1948.3
1994-05-10,1946.6
1994-05-11,1974.1
1994-05-12,1981.8
1994-05-13,2010.8
1994-05-16,2051.8
1994-05-17,2036.2
1994-05-18,2047.4
1994-05-19,2032.0
1994-05-20,2043.8
1994-05-23,2060.7
1994-05-24,2072.1
1994-05-25,2045.4
1994-05-26,2035.4
1994-05-27,2041.9
1994-05-30,2032.5
1994-05-31,2021.2
1994-06-01,2036.5
1994-06-02,2015.7
1994-06-03,2017.2
1994-06-06,2011.2
1994-06-07,2008.8
1994-06-08,2018.4
1994-06-09,2015.6
1994-06-10,2009.9
1994-06-14,2017.8
1994-06-15,2015.4
1994-06-16,1996.5
1994-06-17,1991.9
1994-06-20,1964.4
1994-06-21,1934.9
1994-06-22,1953.3
1994-06-23,1966.6
1994-06-24,1962.0
1994-06-27,1901.3
1994-06-28,1916.8
1994-06-29,1917.3
1994-06-30,1931.1
1994-07-01,1907.8
1994-07-04,1929.9
1994-07-05,1945.3
1994-07-06,1931.7
1994-07-07,1902.3
1994-07-08,1905.5
1994-07-11,1902.2
1994-07-12,1915.0
1994-07-13,1921.1
1994-07-14,1951.8
1994-07-15,2002.0
1994-07-18,2015.6
1994-07-19,2020.9
1994-07-20,2021.6
1994-07-21,1991.2
1994-07-22,1994.1
1994-07-25,1990.7
1994-07-26,1983.2
1994-07-27,1982.2
1994-07-28,1982.3
1994-07-29,2003.5
1994-08-01,2025.4
1994-08-02,2030.3
